"link","спасылка"
"Example for nanopool:","Прыклад для nanopool:"
"Example for nicehash:","Прыклад для nicehash:"
"Second coin algo","Алгарытм другой манеты:"
"Config override:","Пераазначэнне канфігурацыі:"
"Pool server:","Сервер пулу:"
"Port:","Порт:"
"index","індэкс"
"AMD config override:","Пераазначэнне канфігурацыі AMD:"
"Nvidia config override:","Пераазначэнне канфігурацыі NVIDIA:"
"CPU config override:","Пераазначэнне канфігурацыі CPU:"
"Errors","Памылкі"
"last 24 hours","Апошнія 24 гадзіны"
"Workers with errors","Воркеры з памылкамі"
"No errors found","Памылак не знойдзена"
"Show","Паказаць"
"Overclocking","Разгон"
"Coins","Манеты"
"Pools","Пулы"
"Miners","Майнэры"
"Select pools","Абраць пулы"
"Select miners","Абраць майнэры"
"Select coin","Абраць манету"
"Select overclocking","Абраць разгон"
"by","ад"
"View payload","Падрабязней"
"Add Wallet","Дадаць гаманец"
"Red Temperature","Макс. температура"
"Trust user","Давераны карыстальнік"
"Add Worker","Дадаць воркера"
"FarmNavCleanWorkers","Выдаліць паведамленні ад усіх воркераў"
"Save","Захаваць"
"FarmTempHeader.ASICCriticalTemperature","ASIC крытычная тэмпература"
"Ask a question","Задаць пытанне"
"Report an issue","Паведаміць пра праблему"
"Tags","Тэгі"
"Wallets","Гаманцы"
"Platform","Платформа"
"Run","Пуск"
"Wallet","Гаманец"
"Coin","Манета"
"Pool","Пул"
"Miner","Майнэр"
"Select pool","Абраць пул"
"Select miner","Абраць майнэр"
"Select wallet","Абраць гаманец"
"Configure Pool","Наладзіць пул"
"Setup Miner Config","Наладзіць майнэр"
"Dual Coin","Дуал манета"
"Dual Wallet","Дуал гаманец"
"Dual Pool","Пул для дуалу"
"Configure in miner","Наладзіць майнэр"
"Update","Абнавіць"
"Add New Flight Sheet","Дадаць новы палётны аркуш"
"Reset","Скінуць"
"Create Flight Sheet","Стварыць палётны аркуш"
"Add Miner","Дадаць майнэр"
"Email","Email"
"worker","воркер"
"selected","абрана"
"FlightSheetsRocket.Message","Вы жадаеце ўжыць бягучы палётны аркуш для"
"Choose Flight Sheet for","Абраць палётны аркуш для"
"Your Company","Ваша кампанія"
"Home","Хатняя старонка"
"Admin","Адмін"
"Privacy","Канфідэнцыйнасць"
"Not Found","Не знойдзена"
"off","выкл."
"No","Не"
"min","хв."
"Remote","Вонкавы IP"
"Consumption","спажыванне"
"AES","AES"
"Cores","Ядры"
"Motherboard","Сістэмная плата"
"Free space","Вольнае месца"
"Free RAM","Вольная памяць"
"OS version","Вэрсія АС"
"Drivers","Драйвэры"
"Yes","Так"
"System type","Тып сістэмы"
"Kernel","Ядро"
"Local IP","Лакальны IP"
"Load Average","Сярэдняя загрузка"
"rigs","rigs"
"Jump to farms, workers...","Пераход да фермаў, воркераў..."
"Notifications","Паведамленні"
"unread","непрачытанае"
"Show all","Адлюстраваць усё"
"No notifications yet","Паведамленняў пакуль няма"
"View geo location","Паглядзець геалакацыю"
"from","з"
"Accept","Пагадзіцца"
"Decline","Скасаваць"
"Term expires in","Час мінае ў"
"Enter value","Увядзіце значэнне"
"Generate","Згенэраваць"
"Enter start date","Увядзіце дату пачатку"
"Start date","Дата пачатку"
"End date","Дата сканчэння"
"Enter end date","Увядзіце дату сканчэння"
"Name","Імя"
"Create","Стварыць"
"Russian","Расейская"
"Chinese","Кітайская"
"English","Ангельская"
"NoActiveFound","Не было актыўнасці"
"all activities","уся актыўнасць"
"Latest Activity","Апошняя актыўнасць"
"Load","Загрузіць"
"warning","у dstm 0.6.0 змяніўся сінтаксіс канфігурацыйнага файлу"
"Previous","Папярэдні"
"Next","Наступны"
"configuration","канфігурацыя"
"MiningInfo","Запуск палётнага аркуша"
"Account","Акаўнт"
"Sign Out","Выйсці"
"Billing","Білінг"
"Support","Падтрымка"
"Community","Суполка"
"Forum","Форум"
"Referrals","Рэфералы"
"NoRightsMessage","Прабачце, вы не маеце дастаткова правоў для прагляду гэтай старонкі"
"to","у"
"Login","Логін"
"access","доступ"
"Notification.EventChanged","Апавяшчэнне зменена"
"Notification.AccessChanged","Доступ зменены для "
"Notification.WhitelistChanged","Белы спіс зменены"
"Account.NotificationDescription6","Вы можаце дадаць гэтага бота ў групу чата, каб некалькі адміністратараў маглі сачыць за воркерами. Стварыце сваю групу і дадайце 'hiveosbot' як удзельніка. Код чата для груп - адмоўны, нешта накшталт '-12345'."
"Account.NotificationDescription1","Распачаць размову з гэтым ботам"
"Account.NotificationDescription2","Бот адкажа і вы ўбачыце свой код, які вы павінны ўвесці ў поле з правага боку. Нешта накшталт '12345'."
"Account.NotificationDescription3","Ваш логін"
"Account.NotificationDescription4","Даслаць каманду боту"
"Account.NotificationDescription5","і ён зладзіць падпіску для вашага ўліковага запісу дзеля атрымання паведамленняў."
"Update Settings","Абнавіць налады"
"Fan","Вент."
"Core Clock","Частата ядра"
"Memory Clock","Частата памяці"
"Power Limit","Мяжа энэргаспажывання"
"(0 for auto)","(0 аўта)"
"(0 for stock value)","(0 для стокавага значэння)"
"NvidiaCardFrom.SpecifyDevice","Вызначце да якіх прыладаў павінен ужывацца асаблівы падыход (напрыклад, першыя рэвізіі GTX1080), --revA"
"NvidiaCardFrom.MemClock","Звычайна гэтае значэнне удвая болей за тое, што вы бачыце ў AfterBurner. Напрыклад, калі ў Windows +800MHz, то тут вы павінны ўпісаць 1600."
"NvidiaCardFrom.OffLED","Выключыць падсветку (можа не спрацаваць на некаторых картках)"
"OhGodAnETHlargementPill","OhGodAnETHlargementPill ('таблетка')"
"ValueCardSeparatedSpace.","Вы можаце вызначыць адзінае значэнне для ўсіх картак ці спіс значэнняў для кожнай карткі праз прагалы."
"one value for all GPUs.","адзінае значэнне для ўсіх GPU."
"means GPU0 = none, GPU1 = 100, etc.","азначае GPU0 = нічога, GPU1 = 100, і гэтак далей."
"Configure","Наладзіць"
"Overclocking Settings","Параметры разгону"
"OverclockingProfileModal.Text","Абраць профілі разгону для "
"ApplyOverclockProfile","Вы жадаеце ўжыць бягучы профіль разгону для "
"Invalid Shares","Няслушныя шары"
"Show all payments","Адлюстраваць усе плацяжы"
"No payments yet","Не было плацяжоў"
"Pool address","Адрас пулу"
"Select pool address","Унесці адрас пулу"
"Add New Pool","Дадаць новы пул"
"Enter email","Увядзіце email"
"Select Pool Server","Абярыце сервер пулу"
"Selected Pool Servers","Абраныя серверы пулаў"
"on","укл."
"rights","правамі"
"Workers","Воркеры"
"Balance","Баланс"
"Shared with me","Падзяліўся са мною"
"Timezone","Гадзінны пояс"
"Create New Farm","Стварыць новую ферму"
"Select timezone","Абраць гадзінны пояс"
"Input farm name","Увядзіце імя фермы"
"Mem State","Стан памяці"
"Core Voltage","Напружанне ядра"
"Core State","Стан ядра"
"RadeonCardFrom.fanSpeed2","ў наладах Claymore"
"RadeonCardFrom.fanSpeed1","Вы можаце ўсталяваць хуткасць кручэння вентылятару, але майнэр (Claymore) будзе кантраляваць яе ў любым выпадку. Таму вы павінны спачатку адключыць кіраванне вентылятарам у наладах майнэра, каб гэта спрацавала. Неабходна прапісаць"
"RadeonCardFrom.memState.text3","Вы павінны прапісаць гэты парамэтар сумесна з наладай 'Частата памяці'"
"RadeonCardFrom.memState.text2","Карткі RX, якія, як вядома, маюць 1 ці 2 станаў памяці (фактычна 3, улічваючы 0 - стан бяздзейнасці). Змоўчна будзе абраны самы найвышэйшы стан. Але некаторыя карткі, як вядома, не паддаюцца зніжцы напружання ў самым вышэйшым стане і патрабуюць ніжэйшага стану. Напрыклад, вышэйшы стан будзе 2 і каб панізіць напружанне неабходна ўсталяваць 1."
"RadeonCardFrom.memState.text1","Гэта вельмі прасунуты парамэтар. Паспрабуйце, калі ёсць цяжкасці з заніжэннем напружання. Калі ж усё і гэтак працуе - не чапайце."
"RadeonCardFrom.coreVddc.text5","з табліцы VBIOS."
"RadeonCardFrom.coreVddc.text4","маецца на ўвазе mV ці падобныя значэнні"
"RadeonCardFrom.coreVddc.text3","Вы можаце ўсталяваць такія значэнні, як"
"RadeonCardFrom.coreVddc.text2","стан будзе выкарыстоўвацца дзеля ўсталёўкі напружання."
"RadeonCardFrom.coreVddc.text1","Гэта неабходна, калі вы паспрабуеце знізіць напружанне ядра відэакарткі. І вы ПАВІННЫ ўсталяваць 'Стан ядра' ці змоўчна"
"RadeonCardFrom.coreState.text4.","Паменьшыце напружанне дзеля зніжэння энэргаспажывання."
"Default is","Змоўчна"
"RadeonCardFrom.coreState.text2","DPM (Дынамічнае кіраванне сілкаваннем)"
"RadeonCardFrom.coreState.text1","Гэта неабходна, калі вы паспрабуеце знізіць сілкаванне відэакарткі. Вы павінны выкарыстоўваць гэты парамэтар сумесна з 'Частата ядра' і 'Напружанне ядра'."
"RadeonCardFrom.coreClock.text2","Калі 'Стан ядра' не азначаны, тады змоўчнае значэнне"
"RadeonCardFrom.coreClock.text1","Усталюйце тут частату ядра, добрае значэнне будзе каля"
"RadeonCardFrom.coreClock.text3","стан будзе выкарыстоўвацца дзеля ўсталёўкі частаты."
"Refill","Папоўніць"
"balance","баланс"
"per month","за 1 месяц"
"Recommended payment is","Рэкамэндаваны плацёж"
"From balance","З балансу"
"With Coinpayment","Аплатай праз Coinpayments"
"Console","Кансоля"
"Execute command","Выканаць каманду"
"Wrong command","Памылковая каманда"
"Remove all messages?","Выдаліць усе паведамленні?"
"EDIT","РЭДАГАВАЦЬ"
"Overview","Агляд"
"Cards","Карткі"
"CONSOLE","КАНСОЛЯ"
"Offline","Па-за сеткай"
"Booted","Запушчаны"
"Uptime","Час працы"
"TRANSFER","ПЕРАДАЧА"
"Monitoring","Маніторынг"
"Reboot","Перазапуск"
"Miner Config","Конфіг майнэру"
"Rocket","Ракета"
"Upgrade","Абнавіць"
"Shutdown","Адключыць"
"OpenVPN configuration","Канфігурацыя OpenVPN"
"Power actions","Дзеянні з сілкаваннем"
"Server URL","Сервер URL"
"Edit tags","Рэдагаваць тэгі"
"Miner actions","Дзеянні майнэра"
"Teleconsole Start","Старт Teleconsole"
"Teleconsole Stop","Спыненне Teleconsole"
"Teleconsole Restart","Перазапуск Teleconsole"
"Hashrate watchdog","Вачдог па хэшрэйце"
"Run command","Выканаць каманду"
"Miner Log","Лог майнэру"
"Stop Miner","Спыніць майнэр"
"Restart Miner","Перазапусціць майнэр"
"Remote access","Аддалены доступ"
"more messages","болей паведамленняў"
"Add","Дадаць"
"Password","Пароль"
"Description","Апісанне"
"Add New Worker","Дадаць новага воркера"
"RigForm.EnterWorkerName","Увядзіце імя новага воркера"
"RigForm.EnterWorkerPassword","Увядзіце пароль воркера"
"RigForm.EnterWorkerDescription","Увядзіце апісанне воркера"
"rejected","адхіленыя"
"shared","сумесны"
"Upgrade to","Абнавіць да"
"New features","Новыя магчымасці"
"New version","Новая версія"
"Current version","Бягучая версія"
"SaveOCModal","Захаваць профіль разгону"
"Enter Name","Увядзіце імя"
"SaveOverclockingAsTemplate.Name","Імя профілю разгону"
"SaveOverclockingAsTemplate.Title","Захаваць разгон у якасці шаблону"
"Set","Усталяваць"
"Default","Змоўчна"
"Choose URL","Абраць URL"
"ServerUrlFrom.Help3","Будзьце ўважлівы! Заўсёды падрыхтуйце фізычны ці аддалены доступ (SSH) да воркеру да таго, як зменіце гэты парамэтар. Калі воркер няздольны падлучыцца да абранага URL, ён будзе ў стане 'па-за сеткай' для Hive. URL-адрас люстэрка захоўваецца ў тэчцы /hive-config/rig.conf, дзе вы заўсёды выправіце яго ўручную."
"ServerUrlFrom.Help2","Калі вы пакінеце гэта як 'Змоўчна', тады Hive здолее вызначыць да якога з сервераў падлучыцца. Звычайна гэта будзе першы ў спісе."
"ServerUrlFrom.Help1","Калі ўзніклі праблемы з падлучэннем да серверу Hive і часта ўзнікаюць падзеі 'па-за сеткай'/'у сетцы', вы можаце паспрабаваць абраць іншы URL-адрас для падлучэння да серверу. Часам узнікае праблема з фаерволам (ці то вашым, ці то ISP), тады можа дапамагчы змена порту."
"Mirror Select","Выбар люстэрка"
"Stats","Статыстыка"
"gpu","gpu"
"for 24 hours","за 24 гадзіны"
"View all","Паглядзець усё"
"day","дзень"
"Day left","Застаўся дзень"
"Days left","Засталося дзён"
"New Tag Name","Новае імя тэгу"
"Add Tag","Дадаць тэг"
"Add tag","Дадаць тэг"
"Explore transaction","Паглядзець транзакцыю"
"Referrals.TransactionsNotFound","Не было транзакцый"
"Upload VBIOS","Запампаваць VBIOS"
"VBIOS ROM file","VBIOS ROM файл"
"UploadingBiosFromLabel","Прымусова прашыць, ігнараваць праверкі і налады бяспекі"
"Upload","Запампаваць"
"VPN.ClientConf","client.conf (з убудаванымі сертыфікатамі, запампаваць толькі гэты файл)"
"Login (auth-user-pass)","Логін (auth-user-pass)"
"Password (auth-user-pass)","Пароль (auth-user-pass)"
"Address","Адрас"
"Enter wallet address","Увядзіце адрас гаманца"
"Enter wallet name","Увядзіце імя гаманца"
"Accepted shares ratio","Суадносіны прынятых шараў"
"Invalid shares","Невалідныя шары"
"High Temperature","Высокая тэмпература"
"Low hashrate","Малы хэшрэйт"
"cores","ядры"
"Hive OS Version:","Hive OS вэрсія:"
"Power:","Спажыванне:"
"Free disk space:","Вольная дыскавая прастора:"
"Restart","Перазапуск"
"Stop","Стоп"
"Shut Down","Адключыць"
"Overclocking profiles","Профілі разгону"
"WorkerActions.Upgrade","Жадаеце абнавіць воркеры да апошняй версіі HiveOS?"
"WorkerMiner.Tooltip","Прынята Адхілена Сапсаваныя, Суадносіны прынятых"
"NoStatsFoundSoFar","Няма статыстыкі для адлюстравання"
"Delete","Выдаліць"
"You can","Вы можаце"
"create one","стварыць яго"
"FarmsAccess.NoUsersFound","Не знойдзена карыстальнікаў."
"Owner","Уладальнік"
"Access Levels","Узроўні доступу"
"User name","Імя карыстальніка"
"UserEditForm.GrantAccessProject","Падаць доступ да праекту"
"Grant access","Паданне доступу"
"Access Levels...","Узроўні доступу"
"User login","Логін карыстальніка"
"ProjectAccess.TrustUserDescription","Вы можаце падаць доступ да вашае фермы іншым карыстальнікам, напрыклад, вы маглі б падаць правы доступу для поўнага доступу сваім адміністратарам, каб яны маглі кіраваць усім з свайго месца. Ці надаць прывелеі доступу манітора толькі для чытання тэхнічнаму персаналу, што выконвае нескладанае абслугоўванне і маніторынг і нічога болей."
"Profile","Профіль"
"Telegram","Telegram"
"here","тут"
"Bio","Біяграфія"
"Update Info","Абнавіць інфармацыю"
"Company Info","Інфармацыя пра кампанію"
"Skype","Skype"
"Phone","Тэлефон"
"API docs are","API дакумэнтацыя"
"Account.SetupTFAuth","Налады дзьвухфактарнай аўтэнтыфікацыі (2FA)"
"Account.TFAuth","Дзьвухфактарная аўтэнтыфікацыя (2FA)"
"Update Password","Абнавіць пароль"
"Confirm New Password","Пацвердзіць новы пароль"
"Account.PasswordError","Пароль павінен утрымліваць 8 ці болей сымбаляў"
"New Password","Новы пароль"
"Current Password","Бягучы пароль"
"Full Name","Поўнае імя"
"Account.ProfileSettings.Header","Налады профілю акаўнту"
"Language","Мова"
"Account.BIODescription1","Дадатковая інфармацыя пра вас"
"Account.BIODescription2","Гэта апцыянальна."
"Account.AuthenticationDecstiption","Задзейнічайце, каб надаць вашаму уліковаму запісу HiveOS дадатковы ўзровень бяспекі."
"Account.PasswordDescription","Змена паролю, таксама, скідвае ваш API ключ."
"Account.ProfileDescription","Ваш логін - гэта ваш ідэнтыфікатар у HiveOS і выкарыстоўваецца для ўваходу ў сістэму."
"6 digits code","6 лічбаў коду"
"Enable 2FA","Уключыць 2FA"
"Turn off 2FA","Адключыць 2FA"
"Account.AuthenticationTokenButton","Стварыць новы персанальны API-токен"
"Authentication Tokens","Токены аўтэнтыфікацыі"
"Account.AuthenticationToken","В можаце кіраваць сваімі персанальнымі API-токенамі. Вы можаце стварыць новы токен для аплікацый трэцяга боку. Ці выдаліць падазроную сесію."
"Personal Tokens","Персанальныя токены"
"Session Tokens","Ідэнтыфікатары сеансаў"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","які можа быць усталяваны на некалькі прыладаў, уключна з ПК."
"Account.AuthenticationTwoFactor4","Паскануйце QR з дапамогай камеры і ўвядзіце атрыманы код ніжэй."
"Farm Activity Feed","Стужка актыўнасці фермы"
"Pay","Аплаціць"
"Payments","Плацяжы"
"Amount to refill, $","Сума для папаўнення, $"
"Your Current Balance","Ваш бягучы баланс"
"Payments History","Гісторыя плацяжоў"
"Farms Balance","Баланс ферм"
"Free","Бясплатна"
"Invoice","Рахунак"
"days left","дзён засталося"
"Disable Paid Features","Адлучыць платныя функцыі"
"Enable Paid Features","Падлучыць платныя функцыі"
"Log in","Аўтарызавацца"
"Return to","Вярнуцца да"
"Reset password","Скінуць пароль"
"Type email to recover password","Увядзіце email для аднаўлення паролю"
"Error.Text","Нажаль, на гэтай старонцы адбылася крытычная памылка"
"Just one step!","Найпрост адзін крок!"
"create wallet","стварыць гаманец"
"first!","першы!"
"Farm.FarmsFs.Description","Для кіравання палётнымі аркушамі вам неабходна"
"FarmOC.EmptyMessage","Няма створаных профіляў разгону. Вы можаце"
"Add OC Profile","Дадаць OC профіль"
"Incoming farms","Уваходзячыя фермы"
"Log in your account","Заходзце ў свой уліковы запіс"
"2FA code (if enabled)","2FA код (калі ўключана)"
"Remember me","Запомніць мяне"
"Forgot password?","Забыліся пароль?"
"Register","Зарэгістравацца"
"Don't have account yet?","У вас яшчэ няма ўліковага запісу?"
"Referral Link","Спасылка для запрашэння"
"Referral.ReferralLink1","Размясціце гэную спасылку дзе заўгодна, і людзі будуць адзначаны як вашыя рэфералы, калі яны пяройдуць па гэтай спасылцы і зарэгіструюцца. Пасля іхнай рэгістрацыі вы атрымоўваеце"
"Your referral","Вашая рэферальная"
"Copy to Clipboard","Скапіраваць у буфер абмену"
"Promo Code","Промакод"
"Referral.PromoCodeDescription1","Часам вы ня можаце перадаць сваю спасылку іншым людзям. Тут вы можаце стварыць свой асабісты промакод, напрыклад, 'MIKESHIVE' ці 'SAVEBACKSFORLAMBO'. Калі вы з'яўляецеся прадаўцом абсталявання ці прадаўцом паслуг ці прадстаўніком любога іншага афлайн бізнэсу"
"Referral.PromoCodeDescription2","на іхны рахунак, як толькі яны гэта здзейсняць."
"ETH Wallet Address","ETH адрас гаманца"
"Referral Balance","Рэферальны баланс"
"Deposit to Hive","Дэпазіт у Hive"
"ReferralTransactionsHistory","Гісторыя рэферальных транзакцый"
"Referral.BalanceDescription2","Пазначце ETH гаманец для аўтаматычных аплат на пачатку кожнага месяцу."
"Referral.BalanceDescription1","майнэраў далучылася па вашым запрашэнні."
"Referral.BalanceDescription3","Выплата рэферальных бонусаў адбываецца аднаразова на месяц. Вам будзе сплачана, калі вы падалі тут сапраўдны адрас."
"Referral.BalanceDescription4","Мінімальная сума выплат складае эквівалент 25 даляраў ЗША."
"Referral.BalanceDescription5","Праз вялікую камісію за транзакцыю BTC ваша валюта аплат можа быць зменена"
"Referral.PromoCodeYoungAccount","Ваш уліковы запіс яшчэ не саспеў, каб выкарыстоўваць промакоды."
"Referral.BalanceDescription","У вас пакуль няма рэферальных узнагарод."
"Passwords do not match","Паролі не супадаюць"
"Create new account","Стварыць новы акаўнт"
"Confirm password","Пацвердзіць пароль"
"Register.CheckboxLabelText","Націскаючы «Зарэгістравацца», вы пагаджаецеся з"
"Terms","Умовы"
"Register.HaveAccount","Вы ўжо маеце акаўнт?"
"RestorePassword.Message","Пароль паспяхова дасланы, калі ласка, праверце пошту"
"Remove all","Выдаліць усё"
"Id","Id"
"Activity Feed","Стужка актыўнасці"
"Build Log","Логі зборкі"
"Other","Іншы"
"Flight Sheet","Палётны аркуш"
"Flight Sheets","Палётныя аркушы"
"FlightSheets.Message","Каб пачаць майніць, абярыце 'Палётны аркуш'!"
"StartConfOverclocking","Пачаць налады разгону"
"Flash VBIOS","Прашыць VBIOS"
"OverclocingSettingsFoundSoFar","Пакуль няма наладаў разгону."
"Load From Template","Загрузка з шаблону"
"Save As Template","Захаваць як шаблон"
"Reset All","Скінуць усё"
"Configure New Algo","Наладзіць новы алгарытм"
"Transfer","Перанос"
"Advanced Settings","Пашыраныя налады"
"Confirmation required","Патрабуецца пацвярджэнне"
"Settings.RemoveProject2","Аддалены праект НЯ МОЖА быць адноўлены! Вы ЦАЛКАМ упэўнены?"
"Settings.RemoveProject3","Гэтае дзеянне можа прывесці да страты дадзеных. Каб прадухіліць выпадковыя дзеянні, мы просім вас пацвердзіць свой намер"
"Please type","Калі ласка, набярыце"
"Settings.RemoveProject4","працягнуць ці зачыніць гэты рэжым для адмены."
"Settings.RemoveProject1","Вы маеце намер выдаліць воркера"
"Remove Worker","Выдаліць воркера"
"Settings.RemovedWorker","Аддалены воркер ня можа быць адноўлены!"
"Update Worker","Абнавіць воркера"
"Worker Name","Імя воркера"
"Worker Settings","Налады воркера"
"OpenVPN Config","OpenVPN канфігурацыя"
"Are you sure?","Вы ўпэўнены?"
"Worker Password","Пароль воркера"
"Settings.ChangePass1","Калі зменіце пароль толькі ў базе дадзеных, і да таго ж, воркер будзе актыўны, тады ён пяройдзе ў рэжым 'па-за сеткай'."
"Settings.ChangePass2","Змяніце пароль у базе дадзеных і паспрабуйце змяніць яго на воркеры. Паспрабуйце змяніць пароль на воркеры, што ў сетцы. Пароль будзе зменены толькі пасля паведамлення ад воркеру."
"Settings.ChangePass3","Змяніць пароль толькі ў базе дадзеных. Воркер з бягучым паролем будзе адключаны."
"Transfer Worker","Пранос воркера"
"Settings.WalletTransferFarm","Перанесці воркера на іншую ферму"
"Settings.RemoveProject5","Вы жадаеце выдаліць воркера?"
"Settings.WalletTransfer","Гаманец не пераносіцца з воркерам. Спатрэбіцца ўжыць гаманец з іншай фермы пасля таго, як перасоўванне будзе завершана."
"Settings.ConfirmTransferWorker","Вы жадаеце перанесці воркера?"
"Select farm","Абраць ферму"
"Settings.TransferWorker","Палётны аркуш не капіруецца з воркерам. Спатрэбіцца ўжыць палётны аркуш на новай ферме пасля завершання пераносу воркеру."
"Transfer Worker?","Перанесці воркера?"
"Tuning","Цюнінг"
"Worker","Воркер"
"Online","У сетцы"
"With Errors","З памылкамі"
"Hide filters","Схаваць фільтры"
"Show filters","Адлюстраваць фільтры"
"with","з"
"Name changed","Імя зменена"
"Farm settings","Налады фермы"
"Settings.MargeProject","Вы маеце магчымасць аб'яднаць праект толькі з тым, якім вы кіруеце."
"Merge Project","Аб'яднаць праект"
"Transfer Project","Перанос праекту"
"Type project name","Увядзіце назву праекту"
"Select user login","Абраць логін карыстальніка"
"Remove Project","Выдаліць праект"
"Farm.Setting.Text1","Вы маеце намер выдаліць ферму"
"Type Project Name","Увядзіце назву праекту"
"You are going to merge farm","Вы маеце намер аб'яднаць ферму"
"Merged project CANNOT be restored!","Немагчыма аднавіць аб'яднаны праект!"
"Are you ABSOLUTELY sure?","Вы ЦАЛКАМ упэўнены?"
"Save Changes","Захаваць змены"
"Timezone changed","Гадзінны пояс зменены"
"Farm changed","Ферма зменена"
"Farm.Settings.TagsDescription","Дадайце свае тэгі, каб пазначыць воркеры"
"Farm.Settings.RemoveDescription1","Выдаленне праекту змусіць выдаліць ягонае сховішча разам з звязанымі з ім рэсурсамі, уключна з праблемамі, запытамі на аб'яднанне, і гэтак далей..."
"Farm.Settings.RemoveDescription2","Выдаленыя праекты ня могуць быць адноўлены!"
"Farm Title","Назва фермы"
"Remove Farm","Выдаліць ферму"
"Question.ChangeFarmOwner","Змяніць уладальніка фермы?"
"ChangeOwnership","змяніць уладальніка на"
"Leave Farm","Пакінуць ферму"
"Settings.LeaveFarm","Пасля гэтага вы страціце доступ да гэтае фермы"
"RemoveFarmAccess","выдаліць доступ да фермы"
"Question.RemoveAccess","Вы жадаеце выдаліць ваш доступ?"
"Question.RemoveFarm","Вы жадаеце выдаліць ферму?"
"Question.LeaveFarm","Вы жадаеце пакінуць ферму?"
"Farm.Setting.FarmHashDescription1","Farm Hash выкарыстоўваецца для падлучэння воркера да фермы без папярэдняга стварэння ў web."
"Farm.Setting.FarmHashDescription2","Найпрост усталюйце яго ў"
"Farm.Setting.FarmHashDescription3","перад першым запускам."
"More details","Болей дэталёва"
"Farm Hash","Farm Hash"
"Transfer farm","Перадача фермы"
"Farm.Setting.TransferDescription","Перадача фермы іншаму карыстальніку. Увядзіце логін існуючага карыстальніка, які будзе новым уладальнікам фермы."
"No wallets found so far.","Пакуль няма гаманцоў."
"FlightSheetForm.NamePlaceholder","Увядзіце назву палётнага аркуша"
