"link","lien"
"Ask a question","Poser une question"
"Report an issue","Signaler une erreur"
"Tags","Tags"
"Wallets","Portefeuilles"
"Platform","Plateforme"
"Run","Exécuter"
"Wallet","Portefeuille"
"Coin","Monnaie"
"Pool","Pool"
"Miner","Mineur"
"Select pool","Selectionner pool"
"Select miner","Selectionner mineur"
"Select wallet","Selectionner portefeuille"
"Configure Pool","Configurer la Pool"
"Setup Miner Config","Configuration du mineur"
"Dual Coin","Double monnaie"
"Dual Wallet","Double portefeuille"
"Dual Pool","Double Pool"
"Configure in miner","Configurer dans le mineur"
"Update","Actualiser"
"Add New Flight Sheet","Ajouter une nouvelle feuille de route"
"Reset","Réinitialiser"
"Create Flight Sheet","Créer une feuille de route"
"Add Miner","Ajouter un Mineur"
"Email","Email"
"worker","RIG"
"selected","Selectionné"
"FlightSheetsRocket.Message","Êtes-vous sûr de vouloir appliquer les paramètres de la feuille de route pour"
"Choose Flight Sheet for","Choisir une feuille de route pour"
"Your Company","Votre entreprise"
"Home","Accueil"
"Admin","Admin"
"Privacy","Confidentialité"
"Not Found","Introuvable"
"off","Off"
"No","Non"
"min","min"
"Remote","Distant"
"Consumption","Consommation"
"AES","AES"
"Cores","Coeurs"
"Motherboard","Carte mère"
"Free space","Espace libre"
"Free RAM","RAM libre"
"OS version","Version de l'OS"
"Drivers","Pilotes"
"Yes","Oui"
"System type","Type du Système"
"Kernel","Kernel"
"Local IP","IP local"
"Load Average","Charge moyenne"
"rigs","RIGs"
"Jump to farms, workers...","Aller à ferme, RIGs..."
"Notifications","Notifications"
"unread","Non lu"
"Show all","Afficher tout"
"No notifications yet","Aucune notification pour l'instant"
"View geo location","Afficher la géolocalisation"
"from","de"
"Accept","Accepter"
"Decline","Refuser"
"Term expires in","Le terme expire dans"
"Enter value","Entrer une valeur"
"Generate","Génerer"
"Enter start date","Entrer une date de début"
"Start date","date de début"
"End date","date de fin"
"Enter end date","Entrer une date de fin"
"Name","Nom"
"Create","Créer"
"Russian","Russe"
"Chinese","Chinois"
"English","Anglais"
"NoActiveFound","Aucune activité pour l'instant"
"all activities","Toutes les activités"
"Latest Activity","Dernière Activité"
"Load","Charge"
"warning","dstm 0.6.0 a changé la syntaxe de configuration"
"Previous","Précédent"
"Next","Suivant"
"configuration","configuration"
"MiningInfo","Feuille de route en cours d'exécution"
"Account","Compte"
"Sign Out","Déconnexion"
"Billing","Paiement"
"Support","Support"
"Community","Communauté"
"Forum","Forum"
"Referrals","Affiliation"
"NoRightsMessage","Désolé, vous n'avez pas les droits nécessaires pour accéder à cette page"
"to","vers"
"Login","Identifiant"
"access","Accès"
"Notification.EventChanged","Notification d'évènement modifié"
"Notification.AccessChanged","Accès modifiés pour"
"Notification.WhitelistChanged","Liste blanche modifiée"
"Account.NotificationDescription6","Vous pouvez ajouter ce bot à un groupe de discussion afin que plusieurs administrateurs puissent surveiller les RIGs. Créez votre groupe et ajoutez 'hiveosbot' en tant que membre. Le code de chat est représenté par un chiffre négatif pour les groupes, Exemple"
"Account.NotificationDescription1","Démarrer une nouvelle discussion avec le robot"
"Account.NotificationDescription2","Le bot vous répondra et vous verrez votre CODE que vous devriez entrer dans le champ de droite. Exemple"
"Account.NotificationDescription3","Votre identifiant est"
"Account.NotificationDescription4","Envoyer une commande au robot"
"Account.NotificationDescription5","et il va s'abonner à votre compte pour recevoir des notifications."
"Update Settings","Mettre à jour les paramètres"
"Fan","Ventilateur"
"Core Clock","Fréquence GPU"
"Memory Clock","Fréquence mémoire"
"Power Limit","Limite d'alimentation"
"(0 for auto)","(0 pour auto)"
"(0 for stock value)","(0 pour valeur par défaut )"
"NvidiaCardFrom.SpecifyDevice","Spécifiez quel périphérique doit être alimenté notre solution principale"
"NvidiaCardFrom.MemClock","Généralement, cette valeur est le double de ce que vous voyez dans AfterBurner. Par exemple, si dans Windows c'est + 800Mhz, ici vous devriez plutôt écrire 1600."
"NvidiaCardFrom.OffLED","Eteindre les LED (peut ne pas fonctionner sur certaines cartes)"
"OhGodAnETHlargementPill","OhGodAnETHlargementPill"
"ValueCardSeparatedSpace.","Vous pouvez définir une valeur unique pour toutes les cartes ou une liste de valeurs pour chaque carte et séparée par un espace."
"one value for all GPUs.","Une seul valeur pour tous les GPUs."
"means GPU0 = none, GPU1 = 100, etc.","Ce qui veut dire GPU0 = aucun, GPU1 = 100, etc."
"Configure","Configurer"
"Overclocking Settings","Paramètres d'Overclocking"
"OverclockingProfileModal.Text","Choisir un profil d'Overclocking pour"
"ApplyOverclockProfile","Voulez-vous appliquer le profil d'overclocking actuel pour"
"Invalid Shares","Shares invalides"
"Show all payments","Afficher tous les paiements"
"No payments yet","Aucun paiement pour l'instant"
"Pool address","Adresse de Pool"
"Select pool address","Selectionner une adresse de Pool"
"Add New Pool","Ajouter une nouvelle Pool"
"Enter email","Entrer un email"
"Select Pool Server","Selectionner un serveur de Pool"
"Selected Pool Servers","Serveurs de Pool sélectionnés"
"on","on"
"rights","droits"
"Workers","RIGs"
"Balance","Solde"
"Shared with me","Partagé avec moi"
"Timezone","Fuseau horaire"
"Create New Farm","Créer une nouvelle ferme"
"Select timezone","Selectionner un fuseau horaire"
"Input farm name","Nom de la ferme"
"Mem State","Etat mémoire"
"Core Voltage","Tension GPU"
"Core State","Etat GPU"
"RadeonCardFrom.fanSpeed2","Réécriture de la configuration dans claymore."
"RadeonCardFrom.fanSpeed1","Vous pouvez régler la vitesse du ventilateur mais le mineur (claymore) le contrôlera de toute façon. Vous devriez désactiver le contrôle du ventilateur dans la configuration du mineur pour que cela fonctionne."
"RadeonCardFrom.memState.text3","Vous devriez utiliser ce paramètre avec le paramètre 'Mem Clock'."
"RadeonCardFrom.memState.text2","Les cartes AMD RX sont connues pour avoir 1 ou 2 types mémoire (en réalité 3 incluant le 0 état inactif). Par défaut, l'état le plus élevé sera sélectionné. Mais certaines cartes rares, sont connues pour ne pouvoir baisser la tension à l'état le plus élevé et doivent en choisir une inférieure. Par exemple, le plus élevé est 2 et pour pouvoir baisser la tension, vous devez définir l'état 1."
"RadeonCardFrom.memState.text1","Ceci est un paramètre très avancé. Essayez ceci s'il y a des problèmes de sous-tension. Si cela fonctionne, ne touchez plus à rien."
"RadeonCardFrom.coreVddc.text5","depuis la table VBIOS."
"RadeonCardFrom.coreVddc.text4","signifie mV ou des valeurs similaires"
"RadeonCardFrom.coreVddc.text3","Vous pouvez définir des valeurs telles que"
"RadeonCardFrom.coreVddc.text2","l'état sera utilisé pour régler la tension."
"RadeonCardFrom.coreVddc.text1","Ceci est requis si vous essayez de baisser la tension de votre carte. Et vous devez définir l'état GPU ou laisser par défaut"
"RadeonCardFrom.coreState.text4.","Réduisez la valeur pour baisser la tension."
"Default is","Par défaut c'est"
"RadeonCardFrom.coreState.text2","DPM (Dynamic Power Management) ou Gestion dynamique de l'énergie"
"RadeonCardFrom.coreState.text1","Ceci est requis si vous essayez de baisser la tension de votre carte. Vous devriez utiliser ce paramètre avec le paramètre 'Fréquence GPU' et 'Tension GPU'."
"RadeonCardFrom.coreClock.text2","Si 'Etat GPU' n'est pas défini, alors ce sera la valeur par défaut"
"RadeonCardFrom.coreClock.text1","Définir la Fréquence GPU ici, une bonne valeur serait autour de"
"RadeonCardFrom.coreClock.text3","l'état sera utilisé pour régler la Fréquence."
"Refill","Recharger"
"balance","Solde"
"per month","par mois"
"Recommended payment is","Payement recommandé à"
"From balance","Depuis le solde"
"With Coinpayment","Avec paiement en monnaie"
"Console","Console"
"Execute command","Executer une commande"
"Wrong command","Mauvaise commande"
"Remove all messages?","Supprimer tous les messages?"
"EDIT","EDITER"
"Overview","Aperçu"
"Cards","Cards"
"CONSOLE","CONSOLE"
"Offline","Hors ligne"
"Booted","Démarré"
"Uptime","Démarré depuis"
"TRANSFER","TRANSFERT"
"Monitoring","Surveillance"
"Reboot","Redémarrer"
"Miner Config","Configuration du mineur"
"Rocket","Rocket"
"Upgrade","Mise à niveau"
"Shutdown","Eteindre"
"OpenVPN configuration","Configuration OpenVPN"
"Power actions","Gestion d'alimentation"
"Server URL","Serveur URL"
"Edit tags","Editer tags"
"Miner actions","Actions mineur"
"Teleconsole Start","Démarrer Téléconsole"
"Teleconsole Stop","Arrêt Téléconsole"
"Teleconsole Restart","Redémarrer Téléconsole"
"Hashrate watchdog","Vigilance Hashrate"
"Run command","Lancer une commande"
"Miner Log","Fichiers journaux du mineur"
"Stop Miner","Arrêter Mineur"
"Restart Miner","Redémarrer Mineur"
"Remote access","Accès distant"
"more messages","Plus de message"
"Add","Ajouter"
"Password","Mot de passe"
"Description","Description"
"Add New Worker","Ajouter un nouveau RIG"
"RigForm.EnterWorkerName","Entrer le nom du RIG"
"RigForm.EnterWorkerPassword","Entrer le mot de passe du RIG"
"RigForm.EnterWorkerDescription","Entrer la description du RIG"
"rejected","Rejeté"
"shared","partagé"
"Upgrade to","Mise à niveau vers"
"New features","Nouvelles fonctionnalités"
"New version","Nouvelle version"
"Current version","Version actuelle"
"SaveOCModal","Sauvegarder le modèle d'Overclocking"
"Enter Name","Entrer le nom"
"SaveOverclockingAsTemplate.Name","Nom du profil d'Overclocking"
"SaveOverclockingAsTemplate.Title","Sauvegarder l'Overclocking comme modèle"
"Set","Appliquer"
"Default","Défaut"
"Choose URL","Choisir une URL"
"ServerUrlFrom.Help3","Faites attention! Préparez toujours l'accès physique ou réseau (SSH) au RIG avant de modifier ce paramètre. Si le RIG n'est pas en mesure de se connecter à l'URL sélectionnée, il deviendra Hors-Ligne pour HiveOs. L'URL du miroir est enregistrée dans /hive-config/rig.conf où vous pouvez la modifier manuellement."
"ServerUrlFrom.Help2","Si vous le laissez par défaut, Hive peut décider où se connecter. Habituellement, ce sera le premier dans la liste."
"ServerUrlFrom.Help1","Si vous rencontrez des problèmes lors de la connexion du serveur Hive à votre RIG et que vous avez souvent de faux événements Hors ligne / en ligne, vous pouvez essayer de choisir une autre URL de connexion au serveur. Parfois, il y a un problème avec le pare-feu (le vôtre ou le FAI) et changer de port aiderait."
"Mirror Select","Sélectionner miroir"
"Stats","Stats"
"gpu","gpu"
"for 24 hours","pour 24 heures"
"View all","Afficher tout"
"day","jour"
"Day left","jour restant"
"Days left","jours restants"
"New Tag Name","Nouveau nom de tag"
"Add Tag","Ajouter Tag"
"Add tag","Ajouter tag"
"Explore transaction","Parcourir transaction"
"Referrals.TransactionsNotFound","Aucunes transactions trouvées"
"Upload VBIOS","Charger VBIOS"
"VBIOS ROM file","Fichier VBIOS ROM"
"UploadingBiosFromLabel","Forcer le flash indépendamment des contrôles de sécurité"
"Upload","Charger"
"VPN.ClientConf","client.conf (avec des certificats intégrés ne télécharger que ce fichier)"
"Login (auth-user-pass)","Identifiant (auth-user-pass)"
"Password (auth-user-pass)","Mot de passe (auth-user-pass)"
"Address","Adresse"
"Enter wallet address","Entrer l'adresse du portefeuille"
"Enter wallet name","Entrer le nom du portefeuille"
"Accepted shares ratio","Ratio des shares acceptés"
"Invalid shares","Shares invalides"
"High Temperature","Temperature excessive"
"Low hashrate","Hashrate bas"
"cores","Coeurs"
"Hive OS Version:","Version Hive OS:"
"Power:","Alimentation:"
"Free disk space:","Espace disque libre:"
"Restart","Redémarrer"
"Stop","Arrêt"
"Shut Down","Eteindre"
"Overclocking profiles","Profils d'Overclocking"
"WorkerActions.Upgrade","Voulez-vous faire une mise à niveau des RIGs vers la dernière version de HiveOS?"
"WorkerMiner.Tooltip","Accepté Rejeté Invalide, Ratio Accepté"
"NoStatsFoundSoFar","Aucune statistique trouvée pour l'instant"
"Delete","Supprimer"
"You can","Vous pouvez"
"create one","créer un"
"FarmsAccess.NoUsersFound","Aucun utilisateur trouvé."
"Owner","Propriétaire"
"Access Levels","Niveau d'accès"
"User name","Nom d'utilisateur"
"UserEditForm.GrantAccessProject","Accorder l'accès au projet"
"Grant access","Accorder l'accès"
"Access Levels...","Niveau d'accès..."
"User login","Identifiant utilisateur"
"ProjectAccess.TrustUserDescription","Vous pouvez donner un accès de contrôle à votre ferme à d'autres utilisateurs, par exemple, vous pouvez accorder des privilèges d'accès total à vos administrateurs afin qu'ils puissent tout gérer à votre place. Ou vous pouvez donner les privilèges d'accès en lecture seule à votre personnel technique qui effectue une maintenance et une surveillance simple et rien de plus."
"Profile","Profil"
"Telegram","Telegram"
"here","Ici"
"Bio","Bio"
"Update Info","Actualiser Info"
"Company Info","Entreprise Info"
"Skype","Skype"
"Phone","Téléphone"
"API docs are","Les docs API sont"
"Account.SetupTFAuth","Paramétrer la double Authentication"
"Account.TFAuth","Double Authentification"
"Update Password","Changer le mode de passe"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Account.PasswordError","Le mot de passe doit être au minimum de 8 caractères."
"New Password","Nouveau mot de passe"
"Current Password","Mot de passe actuel"
"Full Name","Nom complet"
"Account.ProfileSettings.Header","Paramètres du profil"
"Language","Langage"
"Account.BIODescription1","Information additionnel à propos de vous."
"Account.BIODescription2","C'est optionnel."
"Account.AuthenticationDecstiption","Activer pour une sécurité accrue."
"Account.PasswordDescription","La modification de votre mot de passe réinitialisera également votre clé API."
"Account.ProfileDescription","Votre identifiant est votre identité sur Hive OS et est utilisé pour vous connecter."
"6 digits code","Code à 6 chiffres"
"Enable 2FA","Activer 2FA"
"Turn off 2FA","Désactiver 2FA"
"Account.AuthenticationTokenButton","Générer un nouveau jeton API personnel"
"Authentication Tokens","Token d'authentication"
"Account.AuthenticationToken","Là, vous pouvez gérer vos jetons api personnels. Vous pouvez en générer un nouveau pour votre application tierce. Ou supprimer une session par précaution"
"Personal Tokens","Tokens personnel"
"Session Tokens","Tokens de session"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","qui peut être installé sur plusieurs périphériques, y compris de bureau."
"Account.AuthenticationTwoFactor4","Scannez le code avec votre appareil photo et entrez le code ci-dessous."
"Farm Activity Feed","Flux d'activité de la ferme"
"Pay","Payer"
"Payments","Paiements"
"Amount to refill, $","Montant à recharger, $"
"Your Current Balance","Votre solde actuel"
"Payments History","Historique des paiements"
"Farms Balance","Solde de la ferme"
"Free","Disponible"
"Invoice","Facture"
"days left","jours restant"
"Disable Paid Features","Désactiver les paiements"
"Enable Paid Features","Activer les paiements"
"Log in","Connexion"
"Return to","Retourner vers"
"Reset password","Réinitialiser le mot de passe"
"Type email to recover password","Entrer votre email pour récupérer votre mot de passe"
"Error.Text","Désolé, une erreur critique est survenue sur cette page."
"Just one step!","Dernière étape!"
"create wallet","Créer un portefeuille"
"first!","Début!"
"Farm.FarmsFs.Description","Pour gérer les feuilles de route dont vous avez besoin"
"FarmOC.EmptyMessage","Aucun profil d'Overclocking trouvé. Vous pouvez"
"Add OC Profile","Ajouter un profil d'OC"
"Incoming farms","Revenu de la ferme"
"Log in your account","Connecter-vous à votre compte"
"2FA code (if enabled)","2FA code (Si activé)"
"Remember me","Se souvenir de moi"
"Forgot password?","Mot de passe oublié?"
"Register","S'enregistrer"
"Don't have account yet?","Vous n'avez pas encore de compte?"
"Referral Link","Lien d'affiliation"
"Referral.ReferralLink1","Mettez ce lien partout où vous pouvez et les gens seront rédirigés s'ils suivent ce lien. Après leur inscription, vous obtiendrez"
"Your referral","Votre affiliation"
"Copy to Clipboard","Copier dans le presse papier"
"Promo Code","Code Promo"
"Referral.PromoCodeDescription1","Parfois, vous ne pouvez pas donner votre lien aux gens. Ici vous pouvez générer votre code promo unique comme MIKESHIVE ou SAVEBUCKSFORLAMBO. Si vous êtes un vendeur de matériel ou un magasin de service ou tout autre entreprise hors ligne, cela peut fonctionner pour vous. Pour motiver les clients à s'inscrire avec votre code, Hive déposera"
"Referral.PromoCodeDescription2","sur leur compte une fois qu'ils le feront."
"ETH Wallet Address","Adresse portefeuille ETH"
"Referral Balance","Solde d'affiliation"
"Deposit to Hive","Depôt vers Hive"
"ReferralTransactionsHistory","Historique des transactions d'affiliation"
"Referral.BalanceDescription2","Spécifier votre adresse ETH pour un paiement automatique à chaque début de mois.for automatical."
"Referral.BalanceDescription1","Mineur que vous avez invité."
"Referral.BalanceDescription3","Les retraits d'affiliation sont effectués une fois par mois. Vous serez payé si vous avez défini l'adresse ici."
"Referral.BalanceDescription4","Paiement total minimum est de 25$ (21,5€)."
"Referral.BalanceDescription5","A cause des frais de transaction élevés sur le BTC, le paiement ne peut pas être changé."
"Referral.PromoCodeYoungAccount","Votre compte est trop jeune pour utiliser les codes promotionnels."
"Referral.BalanceDescription","Vous n'avez pas encore de récompense d'affiliation."
"Passwords do not match","Les mots de passe ne correspondent pas"
"Create new account","Créer un nouveau compte"
"Confirm password","Confirmer le mot de passe"
"Register.CheckboxLabelText","En cliquant sur s'enregistrer vous êtes d'accord avec"
"Terms","Termes"
"Register.HaveAccount","Vous avez déjà un compte?"
"RestorePassword.Message","Mot de passe envoyé avec succès, vérifiez vos email"
"Remove all","Supprimer tout"
"Id","Id"
"Activity Feed","Flux d'activité"
"Build Log","Créer les fichiers journaux"
"Other","Autre"
"Flight Sheet","Feuille de route"
"Flight Sheets","Feuilles de route"
"FlightSheets.Message","Pour commencer à miner sélectionner une feuille de route!"
"StartConfOverclocking","Démarrer la configuration d'Overclocking"
"Flash VBIOS","Flash VBIOS"
"OverclocingSettingsFoundSoFar","Pas de paramètres d'Overclocing existant."
"Load From Template","Charger depuis un modèle"
"Save As Template","Sauvegarder en tant que modèle"
"Reset All","Réinitialiser tout"
"Configure New Algo","Configurer un nouvel algo"
"Transfer","Transfert"
"Advanced Settings","Paramètres avancées"
"Confirmation required","Confirmation requise"
"Settings.RemoveProject2","Les objets supprimés NE POURRONT PAS être restoré! Êtes-vous COMPLETEMENT sûr?"
"Settings.RemoveProject3","Cette action peut entraîner une perte de données. Pour éviter les actions accidentelles, nous vous demandons de confirmer votre intention"
"Please type","Veuillez saisir"
"Settings.RemoveProject4","pour continuer ou fermer ce panneau pour annuler."
"Settings.RemoveProject1","Vous êtes sur le point de supprimer le RIG"
"Remove Worker","Supprimer le RIG"
"Settings.RemovedWorker","Les RIGs supprimés ne peuvent pas être restoré!"
"Update Worker","Rafraichir le RIG"
"Worker Name","Nom du RIG"
"Worker Settings","Paramètres du RIG"
"OpenVPN Config","Configuration OpenVPN"
"Are you sure?","Etes-vous sûr?"
"Worker Password","Mot de passe du RIG"
"Settings.ChangePass1","Si vous modifiez le mot de passe dans la base de données uniquement et que le RIG actif l'utilise, le RIG se déconnectera."
"Settings.ChangePass2","Changez le mot de passe dans la base de données et essayez de le changer sur le RIG. Cela va essayer de changer le mot de passe sur le RIG en ligne. Le mot de passe ne sera modifié qu'après notification du RIG."
"Settings.ChangePass3","Changer le mot de passe dans la base de données seulement. Le Woker avec le mot de passe actuel sera déconnecté."
"Transfer Worker","Transferer le RIG"
"Settings.WalletTransferFarm","Déplacer le RIG vers une autre ferme"
"Settings.RemoveProject5","Voulez-vous supprimer le RIG?"
"Settings.WalletTransfer","Le portefeuille n'est pas transféré au RIG. S'il vous plaît appliquer le portefeuille de l'autre ferme après que le transfert ait été effectué."
"Settings.ConfirmTransferWorker","Voulez-vous transferer le RIG?"
"Select farm","Selectionner une ferme"
"Settings.TransferWorker","La feuille de route n'est pas copiée avec le RIG. Veuillez appliquer la feuille de route dans une nouvelle ferme une fois l'opération effectuée."
"Transfer Worker?","Transferer le RIG?"
"Tuning","Réglages"
"Worker","RIG"
"Online","En ligne"
"With Errors","Avec Erreurs"
"Hide filters","Cacher les filtres"
"Show filters","Montrer les filtres"
"with","avec"
"Name changed","Nom modifié"
"Farm settings","Paramètres de la ferme"
"Settings.MargeProject","Vous ne pouvez fusionner le projet qu'avec d'autre projet que vous gérez."
"Merge Project","Fusionner le projet"
"Transfer Project","Transferer le projet"
"Type project name","Nom de projet"
"Select user login","Selectionner un identifiant utilisateur"
"Remove Project","Supprimer projet"
"Farm.Setting.Text1","Vous êtes sur le point de supprimer la ferme"
"Type Project Name","Vous êtes sur le point de fusionner la ferme"
"You are going to merge farm","Vous êtes sur le point de fusionner des fermes"
"Merged project CANNOT be restored!","Les projets fusionner NE PEUVENT PAS être restorés!"
"Are you ABSOLUTELY sure?","Êtes-vous COMPLETEMENT sûr ?"
"Save Changes","Sauvegarder les changements"
"Timezone changed","Fuseau horaire modifiée"
"Farm changed","Ferme modifiée"
"Farm.Settings.TagsDescription","Ajoutez vos tags personnalisés pour identifier vos RIGs"
"Farm.Settings.RemoveDescription1","Supprimer ce projet entraînera la suppression de son repertoire et de toutes les resources associées ainsi que les erreurs, les demandes de fusions etc."
"Farm.Settings.RemoveDescription2","Les fermes supprimées NE PEUVENT PAS être restorées!"
"Farm Title","Titre de la ferme"
"Remove Farm","Supprimer la ferme"
"Question.ChangeFarmOwner","Changer le propriétaire de la ferme?"
"ChangeOwnership","changer le propriétaire pour"
"Leave Farm","Quitter la ferme"
"Settings.LeaveFarm","Vous n'aurez plus du tout accès à la ferme après cela."
"RemoveFarmAccess","pour supprimer l'accès à la ferme"
"Question.RemoveAccess","Voulez-vous supprimer vos accès?"
"Question.RemoveFarm","Voulez-vous supprimer la ferme?"
"Question.LeaveFarm","Voulez-vous quitter la ferme?"
"Farm.Setting.FarmHashDescription1","Le hash de la ferme est utilisé pour connecter le RIG à la ferme sans pour autant le créer en amont sur le Web."
"Farm.Setting.FarmHashDescription2","Réglez le paramétrage"
"Farm.Setting.FarmHashDescription3","Avant de commencer."
"More details","Plus de détails"
"Farm Hash","Hash de la Ferme"
"Transfer farm","Transferer la ferme"
"Farm.Setting.TransferDescription","Transférer la ferme à un autre utilisateur. Spécifier l'identifiant d'un utilisateur existant qui sera le nouveau propriétaire de la ferme."
"No wallets found so far.","Aucun portefeuille trouvé pour l'instant."
"FlightSheetForm.NamePlaceholder","Entrer le nom de la feuille de route"
"FSFormItem.DcriHelp","Decred/Siacoin/Lbry/Pascal intensité. Valeure par défaut est 30. Pour PASC la valeure raisonnable est environ 10, pour SIA environ 15. Des valeurs trop hautes provoqueront une chute de performance sur l'ETH."
"PoolConfigModal.Advanced","Configuration avancée"
"PoolConfigModal.AdvancedHint","<strong>Attention.</strong> Chaque URL doit être sur une nouvelle ligne."
"PoolConfigModal.PoolUrls","Entrer URLs"
"FS.ConfiguredInMiner","Configurer dans le miner"
"AutoFan","Réglage automatique des Fans"
"Token","Token"
"PageNotFound","Désolé, cette page n'existe pas."
"ConfirmPassword.Message","Entrer un nouveau mot de passe, un token vou sera envoyé par mail"
"Ethminer.OpenCLCudaHint","Choisissez une plateforme GPU. Utiliser OpenCL & CUDA ensemble pour engendrer des erreurs. Essayer d'utiliser <code>--opencl-platform 1</code> ou <code>0</code> dans les paramètres avancés pour que cela fonctionne."
"AllRedTemps.Hint","La temperature sera rouge au-dessus de ces valeurs"
"RedTemp.Hint","La temperature sera rouge au-dessus de cette valeur"
"AutoFans.NoAMD","Ne pas piloter les cartes ADM, seulement Nvidia."
"AutoFans.Info","Activer la gestion des ventilo. La température sera maintenue proche de la valeur cible. Le minage sera stoppé quand la valeur critique sera atteinte. N'oublier pas de désactiver la gestion des ventilo pour les cartes AMD pour le mineur."
"RadeonCardFrom.coreState.text3","ou 'Niveau d'alimentation' du GPU. Pour les cartes RX la valeur à partir de"
"RadeonCardFrom.AggressiveUndervolting","Sous-tension aggressif (Déterminer l'OC pour chaque état DPM)"
"Settings.VPN","VPN can't be changed right now. Command is running"
"VPN.HelpInfo","Les fichiers seront nommés comme suit, donc les certificats dans client.conf devraient s'appeler ca.crt, client.crt, client.key. Vous pouvez également incorporer des certificats dans client.conf et télécharger un seul fichier."
"Required filed","Champs requis"
"Promocode","Promocode"
"GPU","GPU"
"ASICS","ASICS"
"Account Login","Connexion au compte"
