"link","連結"
"RadeonCardFrom.memState.text1","這是一個非常高級的參數，如果有電壓不足的問題可以試試。如果一切正常就不要用這個。"
"RadeonCardFrom.coreVddc.text5","從VBIOS表格"
"RadeonCardFrom.coreVddc.text4","意為mV或數值例如"
"RadeonCardFrom.coreVddc.text3","你可以設定數值例如"
"RadeonCardFrom.coreVddc.text2","狀態將被用來設置電壓"
"RadeonCardFrom.coreVddc.text1","當你打算給你的顯卡降低電壓，那這個就是必須的。同時你必須設定核心狀態或者默認"
"RadeonCardFrom.coreState.text4.","降低這個值來調低電壓"
"Default is","預設為"
"RadeonCardFrom.coreState.text2","DPM(动态功耗管理)"
"RadeonCardFrom.coreState.text1","当你打算给你的显卡降低电压，那这个就是必须的。你需要在核心频率和核心电压的设置中用到这个参数。"
"RadeonCardFrom.coreClock.text2","如果核心状态没有设置，即为默认值"
"RadeonCardFrom.coreClock.text1","在这里设置核心频率，一个优值大约为"
"RadeonCardFrom.coreClock.text3","状态将会被用来设置频率"
"Refill","儲值"
"balance","餘額"
"per month","每月"
"Recommended payment is","建議儲值為"
"From balance","通過餘額"
"With Coinpayment","通過數字貨幣"
"Console","控制台"
"Execute command","執行命令"
"Wrong command","錯誤命令"
"Remove all messages?","確認移除所有訊息"
"EDIT","編輯"
"Overview","概述"
"Cards","顯示卡"
"CONSOLE","控制台"
"Offline","下線"
"Booted","啟動"
"Uptime","正常運行時間"
"TRANSFER","交易"
"Monitoring","監控"
"Reboot","重啟"
"Miner Config","礦機設定"
"Rocket","Rocket"
"Upgrade","升級"
"Shutdown","關機"
"OpenVPN configuration","打開VPN設置"
"Power actions","功率設定"
"Server URL","伺服器連結"
"Edit tags","編輯標籤"
"Miner actions","挖礦軟體動作"
"Teleconsole Start","開啟遠端"
"Teleconsole Stop","關閉遠端"
"Teleconsole Restart","重啟遠端"
"Hashrate watchdog","算力監控"
"Run command","執行命令"
"Miner Log","礦機日誌"
"Stop Miner","停止礦機"
"Restart Miner","重啟礦機"
"Remote access","遠端礦機"
"more messages","更多訊息"
"Add","新增"
"Password","密碼"
"Description","備註"
"Add New Worker","新增礦機"
"RigForm.EnterWorkerName","輸入礦機名稱"
"RigForm.EnterWorkerPassword","輸入礦機密碼"
"RigForm.EnterWorkerDescription","輸入礦機備註"
"rejected","拒絕的"
"shared","分享的"
"Upgrade to","升級至"
"New features","新功能"
"New version","新版本"
"Current version","當前版本"
"SaveOCModal","保存超頻模組"
"Enter Name","輸入名稱"
"SaveOverclockingAsTemplate.Name","保存超頻範本名稱"
"SaveOverclockingAsTemplate.Title","保存超頻範本標題"
"Set","設定"
"Default","預設"
"Choose URL","選擇連結"
"ServerUrlFrom.Help3","放心！當你更改設定之前，確保物理的或聯網的(SSH)礦機使用權限。當礦機無法連接到指定URL，就會掉線。鏡像的URL保存在/hive-config/rig.conf，你可以進行手動編輯。"
"ServerUrlFrom.Help2","如果它為默認狀態，Hive會自己選擇一個連接，通常是列表中的第一個。"
"ServerUrlFrom.Help1","如果礦機連接Hive服務器出現了問題，經常出現虛假在線或掉線的情況，那麼你可以嘗試不同的服務器URL鏈接。有時候防火牆也會導致問題(你自己的或者ISP)，換個端口會有幫助。"
"Mirror Select","鏡像選擇"
"Stats","狀態"
"gpu","顯示卡"
"for 24 hours","24小時"
"View all","查看全部"
"day","日"
"Day left","剩餘天數"
"Days left","剩餘天數"
"New Tag Name","新標籤名稱"
"Add Tag","新增標籤"
"Add tag","新增標籤"
"Explore transaction","探索交易記錄"
"Referrals.TransactionsNotFound","找不到交易記錄"
"Upload VBIOS","上傳VBIOS"
"VBIOS ROM file","VBIOS ROM檔案"
"UploadingBiosFromLabel","跳過安全檢查強制更新快閃記憶體"
"Upload","上傳"
"VPN.ClientConf","VPN client配置文件(內置證書僅上傳至此文件)"
"Login (auth-user-pass)","登陸(授權用戶)"
"Password (auth-user-pass)","密碼(授權用戶)"
"Address","地址"
"Enter wallet address","輸入錢包地址"
"Enter wallet name","輸入錢包名稱"
"Accepted shares ratio","股份接受比例"
"Invalid shares","無效股份"
"High Temperature","高溫"
"Low hashrate","低算力"
"cores","核心"
"Hive OS Version:","Hive OS 版本:"
"Power:","功率:"
"Free disk space:","剩餘硬碟空間:"
"Restart","重啟"
"Stop","停止"
"Shut Down","關閉"
"Overclocking profiles","超頻設定文件"
"WorkerActions.Upgrade","是否希望將您的礦機升級到最新的OS版本？"
"WorkerMiner.Tooltip","有效的 拒絕的 無效的，有效比率"
"NoStatsFoundSoFar","暫無統計數據"
"","您的權限不足"
"Delete","刪除"
"You can","你可以"
"create one","新增一個"
"FarmsAccess.NoUsersFound","暫無用戶"
"Owner","擁有者"
"Access Levels","授權等級"
"User name","用戶名稱"
"UserEditForm.GrantAccessProject","獲得專案授權"
"Grant access","授權"
"","已存在的用戶登入"
"Access Levels...","授權等級..."
"User login","用戶登入"
"ProjectAccess.TrustUserDescription","你可以將礦場授權給其他用戶，例如給管理員完全權限，那樣可以管理任何事情。或者給你的技術人員只讀監控權限，只讓他們做一些簡單的運維和監控。"
"Profile","個人檔案"
"Telegram","Telegram"
"here","這裡"
"Bio","個人訊息"
"Update Info","升級訊息"
"Company Info","公司訊息"
"Skype","Skype"
"Phone","電話"
"API docs are","API文件為"
"Account.SetupTFAuth","設定雙因數驗證"
"Account.TFAuth","雙因數認證"
"Update Password","更新密碼"
"Confirm New Password","確認新密碼"
"Account.PasswordError","密碼錯誤"
"New Password","新密碼"
"Current Password","當前密碼"
"Full Name","全名"
"Account.ProfileSettings.Header","帳號資料設定"
"Language","語言"
"Account.BIODescription1","關於你的其他資訊"
"Account.BIODescription2","選擇性"
"Account.AuthenticationDecstiption","可以給你的Hive OS賬戶增強額外一層的安全性"
"Account.PasswordDescription","更改你的密碼將也會重設你的API key"
"Account.ProfileDescription","名是你在Hive OS的身份並用於登陸"
"6 digits code","6位碼"
"Enable 2FA","關閉2FA"
"Turn off 2FA","開啟2FA"
"Account.AuthenticationTokenButton","產生新的個人APIToken"
"Authentication Tokens","認證Token"
"Account.AuthenticationToken","你可以在這裡管理你的個人API Token。你可以為你的第三方應用生成一個新的Token，或者移除Session Token。"
"Personal Tokens","使用者 Tokens"
"Session Tokens","Session Tokens"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","可以被安裝於多個設備，包括電腦桌面"
"Account.AuthenticationTwoFactor4","用相機掃描代碼並輸入至下方"
"Farm Activity Feed","礦場狀態"
"Pay","付款"
"Payments","付款"
"Amount to refill, $","儲值金額"
"Your Current Balance","你的目前餘額"
"Payments History","儲值記錄"
"Farms Balance","礦場餘額"
"Free","免費"
"Invoice","發票"
"days left","剩餘天數"
"Disable Paid Features","關閉付費功能"
"Enable Paid Features","開啟付費功能"
"Log in","登入"
"Return to","返回到"
"Reset password","重設密碼"
"Type email to recover password","輸入email取回密碼"
"Error.Text","抱歉！這個頁面出現了錯誤"
"Just one step!","只剩下一個步驟！"
"create wallet","創建錢包"
"first!","首先！"
"Farm.FarmsFs.Description","管理您需要的Flight Sheet"
"FarmOC.EmptyMessage","暫無超頻配置文件。您可以"
"Add OC Profile","添加超頻文件"
"Incoming farms",""
"Log in your account","登入你的帳戶"
"2FA code (if enabled)","雙因數驗證碼(若已開啟)"
"Remember me","儲存資訊供下次登入使用"
"Forgot password?","忘記密碼"
"Register","註冊"
"Don't have account yet?","尚未註冊？"
"","對不起，您好訪問的頁面不存在"
"Referral Link","推薦碼"
"Referral.ReferralLink1","請把這個碼散佈出去，通過這個碼註冊的用戶將被標記，當這些用戶成功註冊後，您將獲得"
"Your referral","你的推薦碼"
"Copy to Clipboard","複製到剪貼簿"
"Promo Code","優惠碼"
"Referral.PromoCodeDescription1","有時您無法將你的鏈接給別人。在這裡你可以生成你獨有的推薦碼，如“ARTHURQIE”或者“SAVEBUCKSFORARTHUR”。如果你是一個硬件銷售商或服務提供商或其他線下商業體，這個將對你有幫助。為了激勵客戶通過你的碼註冊，Hive將會儲存"
"Referral.PromoCodeDescription2","到他們的賬戶，一旦他們這樣做了"
"ETH Wallet Address","ETH錢包地址"
"Referral Balance","推薦獎勵餘額"
"Deposit to Hive","存款至Hive"
"ReferralTransactionsHistory","推薦獎勵支付記錄"
"Referral.BalanceDescription2","為每個月初自動轉賬設定你的ETH錢包地址"
"Referral.BalanceDescription1","通過你的邀請加入的礦工"
"Referral.BalanceDescription3","推薦獎勵提現每月一次，收取獎勵需要在這設定錢包"
"Referral.BalanceDescription4","最小支付門檻為$25"
"Referral.BalanceDescription5","由於高額的BTC轉賬手續費，你的收入可能會變動"
"Referral.PromoCodeYoungAccount","你的賬戶用優惠碼太早了"
"Referral.BalanceDescription","您還沒有任何推薦獎勵"
"Passwords do not match","密碼不匹配"
"Create new account","新建賬號"
"Confirm password","確認密碼"
"Register.CheckboxLabelText","點擊註冊，您將同意"
"Terms","條款"
"Register.HaveAccount","是否已擁有賬戶？"
"RestorePassword.Message","已成功發送密碼，請在您的郵箱中查看"
"Remove all","移除全部"
"Id","Id"
"Activity Feed","動態"
"Build Log","建立日誌"
"Other","其他"
"Flight Sheet","Flight Sheet"
"Flight Sheets","Flight Sheets"
"FlightSheets.Message","開始挖況請選擇Flight Sheet！"
"StartConfOverclocking","開始配置超頻"
"Flash VBIOS","刷VBIOS"
"OverclocingSettingsFoundSoFar","沒有找到超頻設定"
"Load From Template","載入礦場範本"
"Save As Template","保存為範本"
"Reset All","重設全部"
"Configure New Algo","設定新的演算法"
"Transfer","转移"
"Advanced Settings","高級設置"
"Confirmation required","需要確認"
"Settings.RemoveProject2","移除項目將無法恢復，你確定嗎？"
"Settings.RemoveProject3","這個動作將導致資料丟失。為了避免意外我們需要你的確認"
"Please type","請輸入"
"Settings.RemoveProject4","下一步或者關閉取消"
"Settings.RemoveProject1","你將移除礦機"
"Remove Worker","移除礦機"
"Settings.RemovedWorker","移除的礦機將不能被恢復"
"Update Worker","升級礦機"
"Worker Name","礦機名稱"
"Worker Settings","礦機設定"
"OpenVPN Config","OpenVPN設定"
"Are you sure?","你確定嗎？"
"Worker Password","礦機密碼"
"Settings.ChangePass1","如果你只在數據庫更新密碼，並且有正在運行的礦機使用它，那麼這些礦機將會掉線。"
"Settings.ChangePass2","在數據庫更新密碼並在礦機端也做更改，將會為在線的礦機更改密碼。密碼只有當礦機發出提醒後才會被更改。"
"Settings.ChangePass3","僅在數據庫更改密碼。那麼用當前密碼的礦機將會掉線。"
"Transfer Worker","轉移礦機"
"Settings.WalletTransferFarm","轉移礦機到另一個礦場"
"Settings.RemoveProject5","是否希望移除礦機？"
"Settings.WalletTransfer","錢包不隨礦機而轉移。請在這步之後應用另一個礦場的錢包。"
"Settings.ConfirmTransferWorker","是否希望轉移礦機？"
"Select farm","選擇礦場"
"Settings.TransferWorker","Flight Sheet不隨礦機而復制。請在這步之後應用新礦場的Flight Sheet"
"Transfer Worker?","是否轉移礦機？"
"Tuning","調校"
"Worker","礦機"
"Online","在線"
"With Errors","故障"
"Hide filters","隱藏篩選"
"Show filters","顯示篩選"
"with","with (與)"
"Name changed","已變更名稱"
"Farm settings","礦場設定"
"Settings.MargeProject","你只能合併這個項目跟其他你管理的項目"
"Merge Project","合併項目"
"Transfer Project","轉移項目"
"Type project name","輸入名稱"
"Select user login","選擇登入的帳號"
"Remove Project","刪除專案"
"Farm.Setting.Text1","你將移除礦場"
"Type Project Name","輸入專案名稱"
"You are going to merge farm","你正準備將兩個礦場合併"
"Merged project CANNOT be restored!","專案合併後將無法回溯！"
"Are you ABSOLUTELY sure?","您確定嗎"
"Save Changes","儲存設定"
"Timezone changed","時區更改完成"
"Farm changed","礦場已更改"
"Farm.Settings.TagsDescription","給礦機添加自定義標籤"
"Farm.Settings.RemoveDescription1","移除項目將會刪除其儲存庫以及全部有關資料，包括事件，合併請求等等"
"Farm.Settings.RemoveDescription2","移除的項目將不會被恢復！"
"Farm Title","礦場標題"
"Remove Farm","移除礦場"
"Question.ChangeFarmOwner","是否變更礦場所有者？"
"ChangeOwnership","轉移所有權給"
"Leave Farm","離開礦場"
"Settings.LeaveFarm","此後您將失去對此礦場的權限"
"","是否希望變更礦場擁有者？"
"RemoveFarmAccess","移除礦場權限"
"Question.RemoveAccess","確定移除你的權限？"
"Question.RemoveFarm","你要移除礦場嗎？"
"Question.LeaveFarm","你要離開礦場嗎？"
"Farm.Setting.FarmHashDescription1","礦場Hash是用來連接礦機到礦場，而不需要在網頁端預生成。"
"Farm.Setting.FarmHashDescription2","只需設定它"
"Farm.Setting.FarmHashDescription3","在初次運行前"
"More details","更多細節"
"Farm Hash","礦場Hash"
"Transfer farm","轉移礦場"
"Farm.Setting.TransferDescription","轉移礦場給另一個用戶。被輸入登錄名的現有用戶將成為礦場的新所有者。"
"No wallets found so far.","沒有找到錢包"
"FlightSheetForm.NamePlaceholder","輸入Flight Sheet的名稱"
"FSFormItem.DcriHelp","Decred/Siacoin/Lbry/Pascal 強度，默認值為30。 PASC的合理值在10左右，SIA在15左右。過高的值會降低ETH挖礦效率。"
"PoolConfigModal.Advanced","高級配置"
"PoolConfigModal.AdvancedHint","<strong>小心</strong> 每個URL必須是單獨一行"
"PoolConfigModal.PoolUrls","輸入URL"
"FS.ConfiguredInMiner","挖礦軟件已配置"
"AutoFan","自動風扇"
"Token","Token"
"PageNotFound","對不起，該頁面不存在"
"ConfirmPassword.Message","輸入郵件中的新密碼和Token"
"Ethminer.OpenCLCudaHint","選擇GPU平台使用。注意同時使用OpenCL和CUDA將會失敗。嘗試在Extra Params中使用<code>--opencl-platform 1</code> 或 <code>0</code>來使用它。"
"AllRedTemps.Hint","當超過這些值時，溫度將顯示為紅色"
"RedTemp.Hint","當超過這個值時，溫度將顯示為紅色"
"AutoFans.NoAMD","不控制AMD顯卡，僅Nvidia"
"AutoFans.Info","開啟風扇控制。將使GPU接近目標溫度。在極端溫度時挖礦會停止。不要忘記在挖礦軟件中關閉對AMD顯卡的溫度控制。"
"RadeonCardFrom.coreState.text3","或者GPU核心的功耗等級。對於RX顯卡，值為"
"RadeonCardFrom.AggressiveUndervolting","激進降壓(為每個DPM狀態設定超頻)"
"Settings.VPN","VPN目前無法更改。命令正在運行"
"VPN.HelpInfo","文件將以如下形式命名。 client.conf內的證書應被命名為ca.crt，client.key。你也把證書嵌入到client.conf中，並只上傳一個文件。"
"Required filed","必須填寫"
"Promocode","促銷代碼"
"GPU","GPU"
"ASICS","ASICS"
"Account Login","帳號登入"
"Password changed","密碼已更改"
"Settings.transferTargetText","你已經送出了一個移轉申請"
"FarmTempHeader.GPUCriticalTemperature","GPU達到溫度上限"
"Account.AuthenticationTwoFactor1","備份這個CODE 最佳的方式是將螢幕畫面擷取後印出"
"Account.AuthenticationTwoFactor2","如果您丟失了這個碼，一旦認證設備(手機)丟失，您將無法保留賬號的權限"
"SelectAmd","選擇AMD顯卡"
"Activity","活動"
"Access","存取權限"
"Settings","設定"
"Unsubscribe","取消訂閱"
"File shouldn't be empty","檔案不能為空白"
"TheLatestActivity","最後使用"
"Referal.EnterPromocode","輸入您的促銷碼"
"FlightSheetFrom.AddMiner","如果你要運作複數的挖礦軟體"
"Settings.NotificationSubscribe","你並沒有訂閱"
"OverclockingAlgoFrom.Title1","修改超頻設定"
"OverclockingAlgoFrom.Title2","設定超頻參數"
"NewWallet","新的錢包"
"EditWallet","編輯錢包"
"Settings.Notifications.AccountLogin","帳號登入"
"Settings.Notifications.DetectedWorkerOffline","偵測到有礦機離線"
"Settings.Notifications.DetectedWorkerOnline","偵測到有礦機上線"
"Settings.Notifications.WorkerBooted","已啟動礦機"
"Settings.Notifications.ErrorMessages","錯誤訊息"
"Settings.Notifications.WarningMessages","警告訊息"
"Settings.Notifications.InfoMessages","一般訊息"
"Settings.Notifications.SuccessMessages","成功訊息"
"Settings.Notifications.GPUTemp","GPU Temp >= Red Temp + 3°"
"Settings.Notifications.HourlySummary","每小時總結"
"ConfirmTransferToHive.Title","存多少到Hive OS？"
"ConfirmTransferToHive.ErrorMessage","您沒有足夠的金額"
"FS.ConfirmatioTitle","注意！這個Flight Sheet正在其他礦機上運行"
"FS.ConfirmatioMessage","您希望在這台礦機上運行一個新的Flight Sheet還是隨別的礦機一起更新？"
"FS.UpdateAll","更新所有的礦機"
"FS.CreateNewFS","創建新的FS"
"NvidiaCardForm.DelayPill","運行pill之前的延遲(秒)"
"NvidiaCardForm.DelayPillHint","或許有助於某些1080顯卡避免bug，試著把這個值設到120或更高"
"WorkerSettings.CardsQuantityHint","礦機內的顯卡數量自動增加。如果你要減少它，請升級這個參數。"
"WorkerSettings.CardsQuantityPlaceholder","輸入數量"
"Cards Quantity","顯卡質量"
"WorkerSettings.DisableGUI","系統啟動時關閉GUI"
"WorkerSettings.DisableGUIHint","對Nvidia顯卡不啟動X服務器，僅啟動控制台，不超頻"
"WorkerSettings.Resend","重新發送所有配置文件"
"WorkerSettings.ResendHint","為了避免礦機沒有被同步到，你可以發送所有的挖礦軟件，超頻及其他配置"
"Push","推送"
"MinerForm.Template.examples","模版示例"
"MinerForm.Template.forMost","對於大多數的礦池"
"MinerForm.Template.for","對於"
"MinerForm.Template.text1","請閱讀你的礦池幫助文件獲取正確及具體的模板格式"
"MinerForm.Template.text2","將被錢包的相關正確值替代"
"MinerForm.Template.text3","將被礦機名替代"
"WDConfig.EnableWatching","開啟算力監視，如果掉到設定的最低值以下，挖礦軟件將會重啟"
"WDConfig.RestartNotHelp","如果挖礦軟件重啟無效，系統將重啟"
"WDConfig.On","算力監視器開啟"
"WDConfig.Off","算力監視器關閉"
"WDConfig.SetUsed","為正在使用的挖礦軟件設定值"
"WDConfig.SetOther","為其他挖礦軟件設定值"
"ConsoleCommand.ShowInfo","顯示Nvidia顯卡的相關信息"
"ConsoleCommand.ShowFreq","顯示當前AMD顯卡的頻率"
"ConsoleCommand.LogsRam","在RAM中記錄，節省USB"
"ConsoleCommand.LogsDisk","在磁盤記錄，將會在系統重啟後留存"
"ConsoleCommand.ShowFreqAmd","顯示當前AMD顯卡的頻率"
"ConsoleCommand.AmdExtended","顯示AMD顯卡的拓展信息"
"ConsoleCommand.AmdVoltage","顯示AMD顯卡#0的電壓表"
"ConsoleCommand.SayHello","向服務器發送訊號，刷新數據"
"ConsoleCommand.ServiceBoot","顯示Hive服務啟動日誌"
"ConsoleCommand.SendReset","向OpenDev監視器發送“reset”命令"
"ConsoleCommand.SendPower","向OpenDev監視器發送“power”命令"
"ConsoleCommand.GpuScript","通過風扇找到GPU"
"Deselect","取消選定"
"Overclocking Profiles","超頻設定檔"
"MinerForm.Url.PoolUrl","礦池URL鏈接包括協議與端口，像"
"MinerForm.Url.ForFailOver","對於備用礦池只需要寫在下一行，不寫表示全部只用一個"
"MinerForm.BminerForm.With","與"
"MinerForm.BminerForm.More","更多"
"MinerForm.Url.ItHas","格式同"
"MinerForm.Url.LooksLike","舉例來說，看起來像"
"MinerForm.Url.Subscribe","如果你在使用flypool，替換掉它"
"MinerForm.Url.IfYou","如果通過SSL連接礦池"
"MinerForm.Url.Examples","bminer的例子"
