"link","посилання"
"Add New Flight Sheet","Додати новий польотний лист"
"Reset","Очистити"
"Create Flight Sheet","Створити польотний лист"
"Add Miner","Додати майнер"
"Email","Email"
"worker","воркер"
"selected","обрано"
"FlightSheetsRocket.Message","Ви хочете застосувати поточний польотний лист для"
"Choose Flight Sheet for","Вибрати польотний лист для"
"Your Company","Ваша компанія"
"Home","Домашня сторінка"
"Admin","Адмін"
"Privacy","Конфіденційність"
"Not Found","Не знайдено"
"off","вимкн."
"No","Ні"
"min","хв."
"Remote","Зовнішній IP"
"Consumption","Споживання"
"AES","AES"
"Cores","Ядра"
"Motherboard","МП"
"Free space","Вільний ДП"
"Free RAM","Вільне ОЗП"
"OS version","ОС версія"
"Drivers","Драйвери"
"Yes","Так"
"System type","Тип системи"
"Kernel","Ядро"
"Local IP","Локальний IP"
"Load Average","Середнє навантаження"
"rigs","rigs"
"Jump to farms, workers...","Перехід до ферм, воркерів..."
"Notifications","Повідомлення"
"unread","непрочитане"
"Show all","Показати все"
"No notifications yet","Поки що немає повідомлень"
"View geo location","Подивитися геолокацію"
"from","з"
"Accept","Прийняти"
"Decline","Відмінити"
"Term expires in","Термін збігає о"
"Enter value","Введіть значення"
"Generate","Сгенерувати"
"Enter start date","Введіть початкову дату"
"Start date","Початкова дата"
"End date","Дата закінчення"
"Enter end date","Введіть дату закінчення"
"Name","Ім'я"
"Create","Створити"
"Russian","Російська"
"Chinese","Китайська"
"English","Англійська"
"NoActiveFound","Не було активностей"
"all activities","вся активність"
"Latest Activity","Остання активність"
"Load","Завантажити"
"warning","в dstm 0.6.0 змінився синтаксис конфігураційного файлу"
"Previous","Попередній"
"Next","Наступний"
"configuration","конфігурація"
"MiningInfo","Запуск польотного листа"
"Account","Аккаунт"
"Sign Out","Вийти з аккаунту"
"Billing","Білінг"
"Support","Підтримка"
"Community","Співтовариство"
"Forum","Форум"
"Referrals","Реферали"
"NoRightsMessage","Вибачте, у вас немає достатніх прав для перегляду цієї сторінки"
"to","в"
"Login","Логін"
"access","доступ"
"Notification.EventChanged","Нотифікація змінена"
"Notification.AccessChanged","Доступ змінений для"
"Notification.WhitelistChanged","Білий список змінений"
"Account.NotificationDescription6","Ви можете додати цього бота в групу чата, для того щоб, декілька адміністраторів могли слідкувати за воркерами.Створіть свою групу та додайте 'hiveosbot' як учасника. Код чата для груп - негативний, щось на зразок '-12345'."
"Account.NotificationDescription1","Почати чат з цим ботом."
"Account.NotificationDescription2","Бот відповість вам, та ви побачите свій КОД, який ви маєте ввести в полі праворуч. Щось на зразок '12345'"
"Account.NotificationDescription3","Ваш логін"
"Account.NotificationDescription4","Відправити команду боту"
"Account.NotificationDescription5","та він оформить підписку для вашого облікового запису для отримання повідомлень"
"Update Settings","Оновити налаштування"
"Fan","Вент."
"Core Clock","Частота ядра"
"Memory Clock","Частота пам'яті"
"Power Limit","Ліміт споживання"
"(0 for auto)","(0 авто)"
"(0 for stock value)","(0 для стокового значення)"
"NvidiaCardFrom.SpecifyDevice","Укажіть, до яких пристроїв повинен бути застосований особливий підхід (наприклад, перші ревізії GTX1080), --revA"
"NvidiaCardFrom.MemClock","Зазвичай це значення в два раза більше того, що ви бачите в AfterBurner. Наприклад, якщо в Windows це +800Mhz, тут ви повинні написати 1600"
"NvidiaCardFrom.OffLED","Виключити підсвічування (може не працювати на деяких картах)"
"OhGodAnETHlargementPill","OhGodAnETHlargementPill ('пігулка')"
"ValueCardSeparatedSpace.","Ви можете вказати одне значення для усіх карт або список значень для кожної карти, поділених прогалиною"
"one value for all GPUs.","одне значення для всіх GPU"
"means GPU0 = none, GPU1 = 100, etc.","означає GPU0 = нічого, GPU1 = 100, и так далі"
"Configure","Налаштувати"
"Overclocking Settings","Параметри розгону"
"OverclockingProfileModal.Text","Вибрати профіля розгону для"
"ApplyOverclockProfile","Ви бажаєте застосувати поточний профіль розгону для"
"Invalid Shares","Невалідні шари"
"Show all payments","Показати всі платежі"
"No payments yet","Не було платежів"
"Pool address","Адреса пула"
"Select pool address","Вказати адресу пула"
"Add New Pool","Додати новий пул"
"Enter email","Введіть email"
"Select Pool Server","Виберіть сервер пула"
"Selected Pool Servers","Вибрані сервери пулів"
"on","увімк."
"rights","правами"
"Workers","Воркери"
"Balance","Баланс"
"Shared with me","Поділився зі мною"
"Timezone","Часовий пояс"
"Create New Farm","Створити нову ферму"
"Select timezone","Вибрати часовий пояс"
"Input farm name","Введіть ім'я ферми"
"Mem State","Стан пам'яті"
"Core Voltage","Напруга ядра"
"Core State","Стан ядра"
"RadeonCardFrom.fanSpeed2","в Claymore перевизначення конфігурації"
"RadeonCardFrom.fanSpeed1","Ви можете встановити швидкість обертання вентилятора, але майнер (claymore) контролюватиме це в будь-якому випадку. Ви повинні відключити управління вентилятором в конфігурації Майнера, щоб це працювало. Прописати"
"RadeonCardFrom.memState.text3","Ви повинні використовувати цей параметр разом з налаштуванням 'Частота пам'яті'"
"RadeonCardFrom.memState.text2","RX карти, які, як відомо, мають 1 або 2 стани пам'яті (фактично 3, включаючи 0 - стан простою). За замовчуванням буде вибрано найвище стан. Але деякі рідкісні карти, як відомо, не піддаються зниженню споживання в найвищому стані і вимагають вибору нижчого. Наприклад, найвище значення дорівнює 2, і для зниження напруги ви хочете встановити стан 1."
"RadeonCardFrom.memState.text1","Це дуже просунутий параметр. Спробуйте це, якщо є проблеми зі зниженням напруження. Якщо все працює і так - не чіпайте."
"RadeonCardFrom.coreVddc.text5","з таблиці VBIOS"
"RadeonCardFrom.coreVddc.text4","мається на увазі мВ або подібні значення"
"RadeonCardFrom.coreVddc.text3","Ви можете встановити такі значення, як"
"RadeonCardFrom.coreVddc.text2","стан буде використовуватися для встановлення напруги"
"RadeonCardFrom.coreVddc.text1","Це необхідно, якщо ви спробуєте знизити напругу ядра відеокарти. І ви ПОВИННІ встановити 'Стан ядра' або за замовчуванням"
"RadeonCardFrom.coreState.text4.","Зменшити значення напруги для пониження споживання"
"Default is","За замовчуванням"
"RadeonCardFrom.coreState.text2","DPM (Динамічне управління живленням)"
"RadeonCardFrom.coreState.text1","Це необхідно, якщо ви спробуєте знизити живлення відеокарти. Ви повинні використовувати цей параметр разом з 'Частота ядра' і 'Напруга ядра'."
"RadeonCardFrom.coreClock.text2","Якщо 'Стан ядра' не задано, то значення за замовчуванням"
"RadeonCardFrom.coreClock.text1","Вставіть частоту ядра тут, гарне значення буде біля"
"RadeonCardFrom.coreClock.text3","стан буде використовуватися для встановлення частоти"
"Refill","Поповнити"
"balance","баланс"
"per month","за 1 місяць"
"Recommended payment is","Рекомендований платіж"
"From balance","З балансу"
"With Coinpayment","Оплатою через Coinpayments"
"Console","Консоль"
"Execute command","Виконати команду"
"Wrong command","Неправильна команда"
"Remove all messages?","Видалити всі повідомлення"
"EDIT","РЕДАГУВАТИ"
"Overview","Огляд"
"Cards","Карти"
"CONSOLE","КОНСОЛЬ"
"Offline","Не в мережі"
"Booted","Запустився"
"Uptime","Час роботи"
"TRANSFER","ПЕРЕДАЧА"
"Monitoring","Моніторинг"
"Reboot","Перезапуск"
"Miner Config","Конфіг майнера"
"Rocket","Ракета"
"Upgrade","Оновити"
"Shutdown","Виключити"
"OpenVPN configuration","OpenVPN конфігурация"
"Power actions","Дії щодо живлення"
"Server URL","Сервер URL"
"Edit tags","Редагувати теги"
"Miner actions","Дії майнера"
"Teleconsole Start","Teleconsole запустити"
"Teleconsole Stop","Teleconsole зупинити"
"Teleconsole Restart","Teleconsole перезапустити"
"Hashrate watchdog","Вотчдог по хешрейту"
"Run command","Виконати команду"
"Miner Log","Лог майнера"
"Stop Miner","Зупинити майнер"
"Restart Miner","Перезапустити майнер"
"Remote access","Віддалений доступ"
"more messages","більше повідомлень"
"Add","Додати"
"Password","Пароль"
"Description","Опис"
"Add New Worker","Додати нового воркера"
"RigForm.EnterWorkerName","Введіть ім'я воркера"
"RigForm.EnterWorkerPassword","Введіть пароль воркера"
"RigForm.EnterWorkerDescription","Введіть опис воркера"
"rejected","відхилені"
"shared","спільно"
"Upgrade to","Оновити до"
"New features","Нові можливості"
"New version","Нова версія"
"Current version","Поточна версія"
"SaveOCModal","Зберегти профіль розгіну"
"Enter Name","Введіть ім'я"
"SaveOverclockingAsTemplate.Name","Ім'я профіля розгону"
"SaveOverclockingAsTemplate.Title","Зберегти розгін як шаблон"
"Set","Встановити"
"Default","За замовчуванням"
"Choose URL","Вибрати URL"
"ServerUrlFrom.Help3","Будьте уважні! Завжди готуйте фізичний або мережевий доступ (SSH) до воркера, перш ніж змінювати цей параметр. Якщо воркер не може підключитися до вибраного URL-адресою, він буде в стані 'не в мережі' для Hive. Дзеркальний URL-адрес зберігається в /hive-config/rig.conf де ви можете редагувати його вручну."
"ServerUrlFrom.Help2","Якщо ви залишите це як 'За замовчуванням' тоді Hive може визначати до якого з серверів підключатися. Зазвичай він буде першим у списку."
"ServerUrlFrom.Help1","Якщо у вас виникли проблеми з підключенням сервера Hive від вашого воркеру і часто виникають помилкові події не в мережі / в мережі, ви можете спробувати вибрати інший URL-адрес для підключення до сервера. Іноді виникає проблема з брандмауером (ваш власний або ISP) і зміна порту може допомогти."
"Mirror Select","Вибір дзеркала"
"Stats","Статистика"
"gpu","gpu"
"for 24 hours","за 24 години"
"View all","Продивитися все"
"day","день"
"Day left","День лишився"
"Days left","Днів лишилось"
"New Tag Name","Нове ім'я тега"
"Add Tag","Додати тег"
"Add tag","Додати тег"
"Explore transaction","Подивитися транзакцію"
"Referrals.TransactionsNotFound","Не було транзакцій"
"Upload VBIOS","Завантажити VBIOS"
"VBIOS ROM file","VBIOS ROM файл"
"UploadingBiosFromLabel","Примусово прошити, ігноруючи перевірки і налаштування безпеки"
"Upload","Завантажити"
"VPN.ClientConf","client.conf (з вбудованими сертифікатами, завантажити тільки цей файл)"
"Login (auth-user-pass)","Логін (auth-user-pass)"
"Password (auth-user-pass)","Пароль (auth-user-pass)"
"Address","Адрес"
"Enter wallet address","Введіть адрес гаманця"
"Enter wallet name","Введіть ім'я гаманця"
"Accepted shares ratio","Співвідношення прийнятих шар"
"Invalid shares","Невалідні шари"
"High Temperature","Висока температура"
"Low hashrate","Низький хешрейт"
"cores","ядер"
"Hive OS Version:","Hive OS версія:"
"Power:","Споживання"
"Free disk space:","Вільний простір на диску"
"Restart","Перезапуск"
"Stop","Стоп"
"Shut Down","Виключити"
"Overclocking profiles","Профіль розгіну"
"WorkerActions.Upgrade","Ви хочете обновити воркери до останньої версії HiveOS?"
"WorkerMiner.Tooltip","Прийнято Відхилено Недійсні, Співвідношення прийнятих"
"NoStatsFoundSoFar","Немає статистики для відображення"
"Delete","Видалити всі повідомлення"
"You can","Ви можете"
"create one","створити його"
"FarmsAccess.NoUsersFound","Не знайдено користувачів."
"Owner","Власник"
"Access Levels","Рівні доступу"
"User name","Ім'я користувача"
"UserEditForm.GrantAccessProject","Надати доступ до проекту"
"Grant access","Надання доступу"
"Access Levels...","Рівні доступу..."
"User login","Логін користувача"
"ProjectAccess.TrustUserDescription","Ви можете надати контроль доступу до вашої ферми іншим користувачам, наприклад, ви могли б надати права доступу для повного доступу своїм адміністраторам, щоб вони могли керувати всім на своєму місці. Або ви можете надати привілеї доступу монітора тільки для читання до вашого технічного персоналу, які виконують просте обслуговування і моніторинг, і нічого більше."
"Profile","Профіль "
"Telegram","Telegram"
"here","тут"
"Bio","Біографія"
"Update Info","Оновити інформацію"
"Company Info","Інформація про компанію"
"Skype","Skype"
"Phone","Телефон"
"API docs are","API документація"
"Account.SetupTFAuth","Налаштування двофакторної аутентифікації (2FA)"
"Account.TFAuth","Двофакторна аутентифікація (2FA)"
"Update Password","Оновити пароль"
"Confirm New Password","Підтвердити новий пароль"
"Account.PasswordError","Пароль повинен містити 8 або більше символів."
"New Password","Новий пароль."
"Current Password","Поточний пароль"
"Full Name","Повне ім'я"
"Account.ProfileSettings.Header","Налаштування профіля аккаунту"
"Language","Мова"
"Account.BIODescription1","Додаткова інформація про вас"
"Account.BIODescription2","Це опціонально"
"Account.AuthenticationDecstiption","Увімкніть, щоб ваш обліковий запис Hive OS став з додатковим рівнем безпеки."
"Account.PasswordDescription","Зміна пароля також скидає ваш API ключ."
"Account.ProfileDescription","Ваш логін - це ваша ідентифікація в Hive OS і використовується для входу в систему."
"6 digits code","6 цифр коду"
"Enable 2FA","Включити 2FA"
"Turn off 2FA","Виключити 2FA"
"Account.AuthenticationTokenButton","Створити новий персональний API токен"
"Authentication Tokens","Токени аутентифікації"
"Account.AuthenticationToken","Ви можете керувати своїми персональними API токенами. Ви можете створити новий для свого стороннього додатка. Або видалити підозрілу сесію"
"Personal Tokens","Персональні токени"
"Session Tokens","Ідентифікатори сеансів"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","який може бути встановлений на деяких пристроях у тому числі ПК"
"Account.AuthenticationTwoFactor4","Відскануйте код за допомогою вашої камери та введіть код нижче."
"Farm Activity Feed","Стрічка активності ферми"
"Pay","Сплатити"
"Payments","Платежі"
"Amount to refill, $","Сума для поповнення, $"
"Your Current Balance","Ваш поточний баланс"
"Payments History","Історія платежів"
"Farms Balance","Баланс ферм"
"Free","Безкоштовно"
"Invoice","Рахунок"
"days left","днів залишилося"
"Disable Paid Features","Відключити платні функції"
"Enable Paid Features","Увімк. платні функції"
"Log in","Авторизуватись"
"Return to","Повернутись до"
"Reset password","Скинути пароль"
"Type email to recover password","Введїть email для встановлення пароля"
"Error.Text","На жаль, на цій сторінці сталася критична помилка."
"Just one step!","Просто один крок!"
"create wallet","створити гаманець"
"first!","перший!"
"Farm.FarmsFs.Description","Для управління польотними листами вам необхідно"
"FarmOC.EmptyMessage","Немає створених профілів розгону. Ви можете"
"Add OC Profile","Додати OC профіль"
"Incoming farms","Вхідні ферми"
"Log in your account","Увійдіть до свого облікового запису"
"2FA code (if enabled)","2FA код (якщо включено)"
"Remember me","Запам'ятати мене"
"Forgot password?","Забули пароль?"
"Register","Зареєструватися"
"Don't have account yet?","У вас ще немає облікового запису?"
"Referral Link","Реферальне посилання"
"Referral.ReferralLink1","Додайте це посилання де завгодно, і люди будуть позначені як ваші реферали, якщо вони перейдуть цим посиланням і зареєструються. Після реєстрації ви отримуєте"
"Your referral","Ваше реферальне"
"Copy to Clipboard","Скопіювати в буфер обміну"
"Promo Code","Промо код"
"Referral.PromoCodeDescription1","Іноді ви не можете передати своє посилання людям. Тут ви можете створити свій унікальний промокод, наприклад 'MIKESHIVE' або 'SAVEBUCKSFORLAMBO'. Якщо ви продавець устаткування або продавець послуг або представник будь-якого іншого офлайн бізнесу"
"Referral.PromoCodeDescription2","на їх рахунок, як тільки вони це зроблять."
"ETH Wallet Address","ETH адреса гаманця"
"Referral Balance","Реферальний баланс"
"Deposit to Hive","Депозит в Hive"
"ReferralTransactionsHistory","Історія реферальних транзакцій"
"Referral.BalanceDescription2","Вкажіть ETH гаманець для автоматичних виплат на початку кожного місяця."
"Referral.BalanceDescription1","майнерів приєдналося за ваши запрошенням."
"Referral.BalanceDescription3","Виплата реферальних бонусів проводиться один раз на місяць. Вам буде виплачено, якщо ви вказали правильну адресу тут. "
"Referral.BalanceDescription4","Мінімальна сума виплати становить еквівалент 25 дол США."
"Referral.BalanceDescription5","Через високу вартість комісії за BTC транзакцію ваша валюта виплат може бути змінена."
"Referral.PromoCodeYoungAccount","Ваш обліковий запис надто 'молодий', щоб використовувати промо-коди."
"Referral.BalanceDescription","У вас поки немає реферальних винагород."
"Passwords do not match","Паролі не співпадають"
"Create new account","Створити новий аккаунт"
"Confirm password","Підтвердити пароль"
"Register.CheckboxLabelText","Натискаючи «Зареєструватися», ви погоджуєтеся з"
"Terms","Умови"
"Register.HaveAccount","У вас вже є аккаунт?"
"RestorePassword.Message","Пароль успішно відправлений, будь ласка перевірте свою пошту"
"Remove all","Видалити усе"
"Id","ld"
"Activity Feed","Стрічка активності ферми"
"Build Log","Журнал збірки"
"Other","Інший"
"Flight Sheet","Польотний лист"
"Flight Sheets","Польотні листи"
"FlightSheets.Message","Щоб почати майнити, виберіть 'Польотний лист'!"
"StartConfOverclocking","Почати налаштування розгону"
"Flash VBIOS","Прошити VBIOS"
"OverclocingSettingsFoundSoFar","Поки немає налаштувань розгону."
"Load From Template","Завантаження з шаблону"
"Save As Template","Зберегти як шаблон"
"Reset All","Скинути усе"
"Configure New Algo","Налаштувати новий алгоритм"
"Transfer","Перенесення"
"Advanced Settings","Розширені налаштування"
"Confirmation required","Необхідно підтвердження"
"Settings.RemoveProject2","Видалений проект НЕ МОЖЕ бути відновлений! Ви ПОВНІСТЮ впевнені?"
"Settings.RemoveProject3","Ця дія може призвести до втрати даних. Щоб запобігти випадкові дії, ми просимо вас підтвердити свій намір"
"Please type","Будь ласка наберіть"
"Settings.RemoveProject4","продовжити або закрити цей режим для скасування."
"Settings.RemoveProject1","Ви збираєтеся видалити воркера"
"Remove Worker","Видалити воркера"
"Settings.RemovedWorker","Видалений воркер не може бути відновлений!"
"Update Worker","Оновити воркера"
"Worker Name","Ім'я воркера"
"Worker Settings","Налаштування воркер"
"OpenVPN Config","OpenVPN конфігурація"
"Are you sure?","Ви впевнені?"
"Worker Password","Пароль воркера"
"Settings.ChangePass1","Якщо ви зміните пароль тільки в базі даних, і при цьому воркер буде активний, тоді воркер перейде в режим 'не в мережі '."
"Settings.ChangePass2","Змініть пароль в базі даних і спробуйте змінити його на воркер. Спробуйте змінити пароль на воркер, який в мережі. Пароль буде змінений тільки після повідомлення від воркер."
"Settings.ChangePass3","Змінити пароль тільки в базі даних. Воркер з поточним паролем буде відключений."
"Transfer Worker","Перенесення воркер"
"Settings.WalletTransferFarm","Перенести воркера на іншу ферму"
"Settings.RemoveProject5","Ви хочете видалити воркера?"
"Settings.WalletTransfer","Гаманець не переноситься з воркером. Будь ласка, застосуйте гаманець з іншого ферми після того як переміщення буде завершено."
"Settings.ConfirmTransferWorker","Ви хочете перенести воркера?"
"Select farm","Вибрати ферму"
"Settings.TransferWorker","Польотний лист не буде копіюватися з воркером. Будь ласка, застосуйте польотний лист в новій фермі після завершення операції перенесення воркера."
"Transfer Worker?","Перенести воркера?"
"Tuning","Тюнінг"
"Worker","Воркер"
"Online","В мережі"
"With Errors","З помилками"
"Hide filters","Сховати фільтри"
"Show filters","Показати фільтри"
"with","з"
"Name changed","Ім'я змінено"
"Farm settings","Налаштування ферми"
"Settings.MargeProject","Ви можете об'єднати проект тільки з другим, яким ви керуєте."
"Merge Project","Об'єднати проект"
"Transfer Project","Перенесення проекту"
"Type project name","Введіть назву проекту"
"Select user login","Вибрати логін користувача"
"Remove Project","Видалити проект"
"Farm.Setting.Text1","Ви збираєтеся видалити ферму"
"Type Project Name","Введіть назву проекту"
"You are going to merge farm","Ви збираєтеся об'єднати ферму"
"Merged project CANNOT be restored!","Неможливо відновити об'єднаний проект!"
"Are you ABSOLUTELY sure?","Ви ПОВНІСТЮ впевнені?"
"Save Changes","Зберегти зміни"
"Timezone changed","Часовий пояс змінено"
"Farm changed","Ферма змінена"
"Farm.Settings.TagsDescription","Додайте свої власні теги, щоб позначити воркери"
"Farm.Settings.RemoveDescription1","Видалення проекту призведе до видалення його сховища і всіх пов'язаних з ним ресурсів, включаючи проблеми, запити на об'єднання і таке інше."
"Farm.Settings.RemoveDescription2","Вилучені проекти не можуть бути відновлені!"
"Farm Title","Назва ферми"
"Remove Farm","Видалити ферму"
"Question.ChangeFarmOwner","Змінити власника ферми?"
"ChangeOwnership","змінити власника на"
"Leave Farm","покинути ферму"
"Settings.LeaveFarm","Після цього у вас більше не буде доступу до цієї фермі"
"RemoveFarmAccess","видалити доступ до ферми"
"Question.RemoveAccess","Ви хочете видалити ваш доступ?"
"Question.RemoveFarm","Ви хочете видалити ферму?"
"Question.LeaveFarm","Ви хочете залишити ферму?"
"Farm.Setting.FarmHashDescription1","Farm Hash використовується для підключення воркеру до ферми без попереднього створення у веб."
"Farm.Setting.FarmHashDescription2","Просто встановіть його в"
"Farm.Setting.FarmHashDescription3","перед першим запуском."
"More details","Більш деталей"
"Farm Hash","Farm Hash"
"Transfer farm","Передача ферми"
"Farm.Setting.TransferDescription","Передайте ферму іншому користувачеві. Введіть логін існуючого користувача, який буде власником нової ферми."
"No wallets found so far.","Ще немає гаманців"
"FlightSheetForm.NamePlaceholder","Введіть назву польотного листу"
"FSFormItem.DcriHelp","Decred / Siacoin / Lbry / Pascal інтенсивність. Значення за замовчуванням - 30. Для PASC рекомендується - 10, для SIA 15. Більш високі значення негативно позначаться на майнінгу Ethash монети"
"PoolConfigModal.Advanced","Розширена конфігурація"
"PoolConfigModal.AdvancedHint","<strong> Будьте обережні! </strong> Кожна URL-адреса має бути з нового рядка."
"PoolConfigModal.PoolUrls","Введіть адреси"
"FS.ConfiguredInMiner","Налаштувати в майнері"
"AutoFan","AutoFan"
"Token","Токен"
"PageNotFound","Вибачте, ця сторінка не існує"
"ConfirmPassword.Message","Введіть новий пароль і токен буде висланий вам на ваш email"
"Ethminer.OpenCLCudaHint","Виберіть платформу GPU для використання. Зауважте, що використання OpenCL та CUDA разом може призвести до помилки. Спробуйте використати <code> - opencl-platform 1 </code> або <code> 0 </code> додаткових параметрах, щоб він працював."
"AllRedTemps.Hint","Температура буде пофарбована в червоний колір вище цих значень"
"RedTemp.Hint","Температура буде пофарбована в червоний колір вище цього значення"
"AutoFans.NoAMD","Не керувати AMD картами, тільки NVidia"
"AutoFans.Info","Увімкнути керування вентиляторами. Він буде тримати GPU близько до цільової температури. Майнінг буде зупинено при досягненні критичної температури. Не забудьте вимкнути керування вентилятором у майнері для карт AMD."
"RadeonCardFrom.coreState.text3","або 'Рівень потужності' ядра GPU. Для карт RX це значення від"
"RadeonCardFrom.AggressiveUndervolting","Агресивне зниження живлення (встановлення OC для кожного стану DPM)"
"Settings.VPN","VPN не можна змінити прямо зараз. Команда виконується"
"VPN.HelpInfo","Файли будуть називатися такими, тому сертифікати в client.conf мають називатися ca.crt, client.crt, client.key. Також ви можете вставляти сертифікати в client.conf і завантажувати лише один файл."
"Required filed","Обов'язкове поле"
"Promocode","Промо-код"
"GPU","GPU"
"ASICS","ASICs"
"Account Login","Вхід до аккаунту"
"Password changed","Пароль змінено"
"Settings.transferTargetText","Вы вже відправили запит на переміщення до"
"FarmTempHeader.GPUCriticalTemperature","Критична температура GPU"
"Account.AuthenticationTwoFactor1","Зробіть резерну копію цього коду! Найкращий спосіб це зробити скріншот і роздрукувати його."
"Account.AuthenticationTwoFactor2","Якщо ви втратите код, то ви не зможете відновити доступ до облікового запису, у разі якщо ви втратите аутентифікаційний пристрій (ваш телефон)."
"SelectAmd","Обрати AMD карту"
"Activity","Активність"
"Access","Доступ"
"Settings","Налаштування"
"Unsubscribe","Відписатись"
"File shouldn't be empty","Файл не повинен бути порожнім"
"TheLatestActivity","Остання активність"
"Referal.EnterPromocode","Ваш креативний промокод тут"
"FlightSheetFrom.AddMiner","Якщо вам потрібно декілька майнерів"
"Settings.NotificationSubscribe","Ви не підписані"
"OverclockingAlgoFrom.Title1","Редагувати налаштування розгону"
"OverclockingAlgoFrom.Title2","Конфігурація налаштувань розгону"
"NewWallet","Новий гаманець"
"EditWallet","Редагування гаманця"
