"link","ссылка"
"Console","Консоль"
"Execute command","Выполнить команду"
"Wrong command","Ошибочная команда"
"Remove all messages?","Удалить все сообщения?"
"EDIT","Редактировать"
"Overview","Обзор"
"Cards","Карты"
"CONSOLE","Консоль"
"Offline","Не в сети"
"Booted","Запустился"
"Uptime","Время наработки"
"TRANSFER","ПЕРЕВОД"
"Monitoring","Мониторинг"
"Reboot","Перезапуск"
"Miner Config","Конфиг майнера"
"Rocket","Ракета"
"Upgrade","Обновить"
"Shutdown","Выключить"
"OpenVPN configuration","OpenVPN конфигурация"
"Power actions","Действия по питанию"
"Server URL","Сервер URL"
"Edit tags","Редактировать тэги"
"Miner actions","Действия майнера"
"Teleconsole Start","Teleconsole запущено"
"Teleconsole Stop","Teleconsole остановлено"
"Teleconsole Restart","Teleconsole перезапущено"
"Hashrate watchdog","Вотчдог по хешрейту"
"Run command","Выполнить команду"
"Miner Log","Лог майнера"
"Stop Miner","Остановить майнер"
"Restart Miner","Перезапустить майнер"
"Remote access","Удаленный доступ"
"more messages","больше сообщений"
"Add","Добавить"
"Password","Пароль"
"Description","Описание"
"Add New Worker","Добавить нового воркера"
"Enter worker name","Введите имя воркера"
"Enter worker password","Введите пароль воркера"
"Enter worker description","Введите описание воркера"
"rejected","отвергнутые"
"shared","совместный"
"Upgrade to","Обновить до"
"New features","Новые возможности"
"New version","Новая версия"
"Current version","Текущая версия"
"SaveOCModal","Сохранить профиль разгона"
"Enter Name","Введите имя"
"Overclocking Profile Name","Имя профиля разгона"
"Save Overclocking as Template","Сохранить разгон в качестве шаблона"
"Set","Установить"
"Default","По-умолчанию"
"Choose URL","Выбрать URL"
"Be careful! Always prepare physical or network access (SSH) to the worker before you change this setting. If the worker is not able to connect to selected URL it will become Offline for Hive. Mirror URL is saved in /hive-config/rig.conf where you can edit it manually.","Будьте внимательны! Всегда подготавливайте физический или сетевой доступ (SSH) к воркеру, прежде чем изменять этот параметр. Если воркер не может подключиться к выбранному URL-адресу, он будет в состоянии 'не в сети' для Hive. Зеркальный URL-адрес сохраняется в /hive-config/rig.conf где вы можете редактировать его вручную."
"If you leave it as 'Default' then Hive can decide where to connect. Usually it will be the first in the list.","Если вы оставите это как 'По-умолчанию' тогда Hive может определять к какому из серверов подключаться. Обычно он будет первым в списке."
"If you have problems with connecting hive server from your worker and have often false Offline/Online events, then you can try to choose different server connection URL. Sometimes there is problem with firewall (your own or ISP) and switching port would help.","Если у вас возникли проблемы с подключением сервера Hive от вашего воркера и часто возникают ложные события не в сети / в сети, вы можете попробовать выбрать другой URL-адрес для подключения к серверу. Иногда возникает проблема с брандмауэром (ваш собственный или ISP) и смена порта может помочь."
"Mirror Select","Выбор зеркала"
"Stats","Статистика"
"gpu","gpu"
"for 24 hours","в течение 24 часов"
"View all","Просмотреть всё"
"day","день"
"Day left","День остался"
"Days left","Осталось дней"
"New Tag Name","Новое имя тэга"
"Add Tag","Добавить тэг"
"Add tag","Добавить тэг"
"Explore transaction","Посмотреть транзакцию"
"Referrals.TransactionsNotFound","Не было транзакций"
"Upload VBIOS","Загрузить VBIOS"
"VBIOS ROM file","VBIOS ROM файл"
"Force flashing regardless or security checking","Принудительно прошить, игнорируя проверки и настройки безопасности"
"Upload","Загрузить"
"client.conf (with embeded certs upload only this file)","client.conf (с встроенными сертификатами, загрузить только этот файл)"
"Login (auth-user-pass)","Логин (auth-user-pass)"
"Password (auth-user-pass)","Пароль (auth-user-pass)"
"Address","Адрес"
"Enter wallet address","Введите адрес кошелька"
"Enter wallet name","Введите имя кошелька"
"Accepted shares ratio","Соотношение принятых шар"
"Invalid shares","Невалидные шары"
"High Temperature","Высокая температура"
"Low hashrate","Низкий хешрейт"
"cores","ядра"
"Hive OS Version:","Hive OS версия:"
"Power:","Потребление:"
"Free disk space:","Свободное пространство на диске:"
"Restart","Перезапуск"
"Stop","Стоп"
"Shut Down","Выключить"
"Overclocking profiles","Профили разгона"
"Do you want to upgrade workers to the latest OS verion?","Вы хотите обновить воркеры до последней версии HiveOS?"
"Accepted Rejected Invalid, Accepted Ratio","Принято Отклонено Битые, Соотношение принятых"
"No stats found so far","Пока нет статистики для отображения"
"You don't have required access rights","У вас нет необходимых прав доступа"
"Delete","Удалить"
"You can","Вы можете"
"create one","создать одну"
"FarmsAccess.NoUsersFound","Не найдено пользователей."
"Owner","Владелец"
"Access Levels","Уровни доступа"
"User name","Имя пользователя"
"Grant access to project","Предоставить доступ к проекту"
"Grant access","Предоставление доступа"
"Login of existing user","Вход пользователя"
"Access Levels...","Уровни доступа..."
"User login","Логин пользователя"
"ProjectAccess.TrustUserDescription","Вы можете предоставить контроль доступа к вашей ферме другим пользователям, например, вы могли бы предоставить права доступа для полного доступа своим администраторам, чтобы они могли управлять всем на своем месте. Или вы можете предоставить привилегии доступа монитора только для чтения к вашему техническому персоналу, которые выполняют простое обслуживание и мониторинг, и ничего более."
"Profile","Профиль"
"Telegram","Telegram"
"here","тут"
"Bio","Биография"
"Update Info","Обновить информацию"
"Company Info","Информация о компании"
"Skype","Skype"
"Phone","Телефон"
"API docs are","API документация"
"Setup Two-factor Authentication","Настройка двухфакторной аутентификации (2FA)"
"Two-factor Authentication","Двухфакторная аутентификация (2FA)"
"Update Password","Обновить пароль"
"Confirm New Password","Подтвердить новый пароль"
"Password must be 8 or more characters.","Пароль должен состоять из 8 или более символов."
"New Password","Новый пароль"
"Current Password","Текущий пароль"
"Full Name","Полное имя"
"Account Profile Settings","Настройки профиля аккаунта"
"Language","Язык"
"Account.BIODescription1","Дополнительная информация о вас."
"Account.BIODescription2","Это опционально."
"Account.AuthenticationDecstiption","Включите, чтобы ваша учетная запись Hive OS стала с дополнительным уровнем безопасности."
"Account.PasswordDescription","Изменение пароля также сбрасывает ваш API ключ."
"Account.ProfileDescription","Ваш логин - это ваша идентификация в Hive OS и используется для входа в систему."
"6 digits code","6 цифр кода"
"Enable 2FA","Включить 2FA"
"Turn off 2FA","Выключить 2FA"
"Account.AuthenticationTokenButton","Создать новый персональный API-токен"
"Authentication Tokens","Токены аутентификации"
"Account.AuthenticationToken","Вы можете управлять своими персональными API токенами. Вы можете создать новый для своего стороннего приложения. Или удалить подозрительную сессию"
"Personal Tokens","Персональные токены"
"Session Tokens","Идентификаторы сеансов"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","который может быть установлен на нескольких устройствах, включая ПК."
"Account.AuthenticationTwoFactor4","Сканируйте код с помощью камеры и введите код ниже."
"Farm Activity Feed","Лента активности фермы"
"Pay","Оплата"
"Payments","Платежи"
"Amount to refill, $","Сумма для пополнения, $"
"Your Current Balance","Ваш текущий баланс"
"Payments History","История платежей"
"Farms Balance","Баланс ферм"
"Free","Бесплатно"
"Invoice","Счет"
"days left","дней осталось"
"Disable Paid Features","Отключить платные функции"
"Enable Paid Features","Включить платные функции"
"Log in","Авторизоваться"
"Return to","Вернутся к"
"Reset password","Сбросить пароль"
"Type email to recover password","Введите email для восстановления пароля"
"Sorry, a critical error occurred on this page.","К сожалению, на этой странице произошла критическая ошибка."
"Just one step!","Просто один шаг!"
"create wallet","создать кошелек"
"first!","первый!"
"Farm.FarmsFs.Description","Для управления полетными заданиями вам необходимо"
"No Overclocking Profiles found so far. You can","Пока нет созданных профилей разгона. Вы можете"
"Add OC Profile","Добавить OC профиль"
"Incoming farms","Входящие фермы"
"Log in your account","Войдите в свою учетную запись"
"2FA code (if enabled)","2FA код (если включено)"
"Remember me","Запомнить меня"
"Forgot password?","Забыли пароль?"
"Register","Зарегистрироваться"
"Don't have account yet?","У вас еще нет учетной записи?"
"Sorry, the page you were trying to view does not exist.","К сожалению, страница, которую вы пытались просмотреть, не существует."
"Referral Link","Реферальная ссылка"
"Referral.ReferralLink1","Разместите эту ссылку где угодно, и люди будут помечены как ваши рефералы, если они перейдут по этой ссылке и зарегистрируются. После регистрации вы получаете"
"Your referral","Ваш реферал"
"Copy to Clipboard","Скопировать в буфер обмена"
"Promo Code","Промо код"
"Referral.PromoCodeDescription1","Иногда вы не можете передавать свою ссылку людям. Здесь вы можете создать свой уникальный промокод, например 'MIKESHIVE' или 'SAVEBUCKSFORLAMBO'. Если вы являетесь продавцом оборудования или продавцом услуг или любым другим офлайновым бизнесом"
"Referral.PromoCodeDescription2","на их счет, как только они это сделают."
"ETH Wallet Address","ETH адрес кошелька"
"Referral Balance","Реферальный баланс"
"Deposit to Hive","Депозит в Hive"
"Referral transactions history","История реферальных транзакций"
"Referral.BalanceDescription2","Укажите ETH кошелек для автоматических выплат в начале каждого месяца."
"Referral.BalanceDescription1","майнер(-а,-ов) присоединилось по вашим приглашениям."
"Referral.BalanceDescription3","Выплата реферальных бонусов производится один раз в месяц. Вам будет выплачено, если вы указали правильный адрес здесь."
"Referral.BalanceDescription4","Минимальная сумма выплаты составляет эквивалент 25 дол США."
"Referral.BalanceDescription5","Из-за высокой стоимости комиссии за BTC транзакцию ваша валюта выплат может быть изменена."
"Referral.PromoCodeYoungAccount","Ваша учетная запись слишком 'молод', чтобы использовать промо-коды."
"Referral.BalanceDescription","У вас пока нет реферальных вознаграждений."
"Passwords do not match","Пароли не совпадают"
"Create new account","Создать новый аккаунт"
"Confirm password","Подтвердить пароль"
"By clicking Register you agree with","Нажимая «Зарегистрироваться», вы соглашаетесь с"
"Terms","Условия"
"Have already account?","У вас уже есть аккаунт?"
"RestorePassword.Message","Пароль успешно отправлен, пожалуйста проверьте свою почту"
"Remove all","Удалить всё"
"Id","Id"
"Activity Feed","Лента активности"
"Build Log","Журнал сборки"
"Other","Другой"
"Flight Sheet","Полетное задание"
"Flight Sheets","Полетные задания"
"To start mining please select Flight Sheet!","Чтобы начать майнить, выберите 'Полетное задание'!"
"Start Configure Overclocking","Начать настройку разгона"
"Flash VBIOS","Прошить VBIOS"
"No Overclocing Settings found so far.","Пока нет настроек разгона."
"Load From Template","Загрузка из шаблона"
"Save As Template","Сохранить как шаблон"
"Reset All","Сбросить все"
"Configure New Algo","Настроить новый алгоритм"
"Transfer","Перенос"
"Advanced Settings","Расширенные настройки"
"Confirmation required","Требуется подтверждение"
"Removed project CANNOT be restored! Are you ABSOLUTELY sure?","Удаленный проект НЕ МОЖЕТ быть восстановлен! Вы ПОЛНОСТЬЮ уверены?"
"This action can lead to data loss. To prevent accidental actions we ask you to confirm your intention","Это действие может привести к потере данных. Чтобы предотвратить случайные действия, мы просим вас подтвердить свое намерение"
"Please type","Пожалуйста наберите"
"to proceed or close this modal to cancel.","продолжить или закрыть этот режим для отмены."
"You are going to remove worker","Вы собираетесь удалить воркера"
"Remove Worker","Удалить воркера"
"Removed Worker cannot be restored!","Удаленный воркер не может быть восстановлен!"
"Update Worker","Обновить воркера"
"Worker Name","Имя воркера"
"Worker Settings","Настройки воркера"
"OpenVPN Config","OpenVPN конфигурация"
"Are you sure?","Вы уверены?"
"Worker Password","Пароль воркера"
"If you change the password in database only and there is active worker using it then the worker will go offline.","Если вы измените пароль только в базе данных, и при этом воркер будет активен, тогда воркер перейдет в режим 'не в сети'."
"Change password in DB and try to change it on worker. Will try to change password on online worker. Password will be changed only after notification from the worker.","Измените пароль в базе данных и попробуйте изменить его на воркере. Попробуйте изменить пароль на воркере, который в сети. Пароль будет изменен только после уведомления от воркера."
"Change password in DB only. The worker with current password will offline.","Изменить пароль только в базе данных. Воркер с текущим паролем будет отключен."
"Transfer Worker","Перенос воркера"
"Move worker to another farm","Перенести воркера на другую ферму"
"Do you want to remove worker?","Вы хотите удалить воркера?"
"Wallet is not transferred with worker. Please apply wallet from other farm after this move is done.","Кошелек не переносится с воркером. Пожалуйста, примените кошелек с другой фермы после того как перемещение будет завершено."
"Do you want to transfer worker?","Вы хотите перенести воркера?"
"Select farm","Выбрать ферму"
"Flight sheet is not copied with the worker. Please apply flight sheet in a new farm after the movement is done.","Полетное задание не копируется с воркером. Пожалуйста, примените полетное задание в новой ферме после завершения операции переноса воркера."
"Transfer Worker?","Перенести воркера?"
"Tuning","Тюнинг"
"Worker","Воркер"
"Online","В сети"
"With Errors","С ошибками"
"Hide filters","Скрыть фильтры"
"Show filters","Показать фильтры"
"with","с"
"Name changed","Имя изменено"
"Farm settings","Настройки фермы"
"You can only merge the project to other you manage.","Вы можете объединить проект только с другим, которым вы управляете."
"Merge Project","Объединить проект"
"Transfer Project","Перенос проекта"
"Type project name","Введите название проекта"
"Select user login","Выбрать логин пользователя"
"Remove Project","Удалить проект"
"You are going to remove farm","Вы собираетесь удалить ферму"
"Type Project Name","Введите название проекта"
"You are going to merge farm","Вы собираетесь объединить ферму"
"Merged project CANNOT be restored!","Невозможно восстановить объединенный проект!"
"Are you ABSOLUTELY sure?","Вы ПОЛНОСТЬЮ уверены?"
"Save Changes","Сохранить изменения"
"Timezone changed","Часовой пояс изменен"
"Farm changed","Ферма изменена"
"Farm.Settings.TagsDescription","Добавьте свои собственные тэги, чтобы пометить воркеры"
"Farm.Settings.RemoveDescription1","Удаление проекта приведет к удалению его хранилища и всех связанных с ним ресурсов, включая проблемы, запросы на объединение и так далее."
"Farm.Settings.RemoveDescription2","Удаленные проекты не могут быть восстановлены!"
"Farm Title","Название фермы"
"Remove Farm","Удалить ферму"
"Change farm owner?","Поменять владельца фермы?"
"to change ownership to","сменить владельца на"
"Leave Farm","Покинуть ферму"
"After this you won't have access to this farm anymore","После этого у вас больше не будет доступа к этой ферме"
"Do you want to change farm owner?","Вы хотети сменить владельца фермы?"
"to remove farm access","удалить доступ к ферме"
"Do you want to remove your access?","Вы хотите удалить ваш доступ?"
"Do you want to remove farm?","Вы хотите удалить ферму?"
"Do you want to leave farm?","Вы хотите покинуть ферму?"
"Farm.Setting.FarmHashDescription1","Farm Hash используется для подключения воркера к ферме без предварительного создания в веб."
"Farm.Setting.FarmHashDescription2","Просто поставьте его"
"Farm.Setting.FarmHashDescription3","перед первым запуском."
"More details","Больше деталей"
"Farm Hash","Farm Hash"
"Transfer farm","Передача фермы"
"Farm.Setting.TransferDescription","Передача фермы другому пользователю. Введите логин существующего пользователя, который будет новым владельцом фермы."
"No wallets found so far.","Пока нет кошельков."
